DriverID,CertificationID,IssueDate,ExpiryDate
118,1,2020-09-19,2030-07-07
118,2,2026-04-06,2029-10-14
118,3,2022-04-17,2026-10-22
119,1,2024-12-23,2029-04-29
119,2,2019-08-30,2030-09-16
120,1,2020-03-06,2029-07-31
120,2,2020-12-18,2029-06-16
120,5,2021-04-29,2028-11-29
121,1,2026-01-09,2026-08-25
121,2,2025-05-11,2028-03-09
121,3,2018-01-09,2028-08-12
121,4,2023-06-26,2030-09-19
122,1,2026-01-05,2028-08-09
123,1,2024-09-01,2030-09-26
123,2,2024-03-11,2026-09-16
124,1,2018-02-25,2029-01-24
125,1,2020-05-03,2030-01-01
126,1,2020-09-15,2029-03-02
126,2,2026-06-18,2029-09-13
127,1,2024-08-14,2031-04-09
127,2,2025-08-08,2029-06-27
128,1,2023-10-22,2031-03-30
128,2,2022-03-13,2029-07-22
128,3,2024-04-15,2028-11-12
129,1,2021-10-14,2028-09-13
130,1,2020-06-28,2027-08-03
130,2,2019-11-05,2029-03-31
131,1,2018-08-08,2031-02-13
132,1,2019-09-20,2028-03-11
133,1,2020-04-01,2030-09-06
133,2,2021-04-10,2031-01-09
134,1,2021-05-20,2027-06-02
134,2,2019-11-15,2029-01-30
134,3,2020-06-09,2029-08-19
135,1,2019-08-16,2029-02-18
135,2,2016-10-22,2031-02-08
136,1,2018-09-21,2028-11-23
137,1,2017-05-05,2027-01-10
138,1,2025-12-25,2029-01-17
138,2,2018-09-19,2030-09-27
138,4,2018-04-25,2026-09-01
139,1,2026-05-03,2028-12-24
139,2,2024-07-21,2030-08-20
140,1,2024-01-23,2029-06-17
140,2,2019-09-15,2026-12-31
141,1,2020-11-11,2030-08-17
142,1,2018-07-05,2027-02-13
142,2,2023-05-21,2030-09-29
142,3,2017-10-30,2031-06-21
143,1,2017-06-25,2027-11-08
143,2,2019-02-09,2031-05-08
144,1,2021-09-26,2027-04-15
145,1,2020-10-16,2027-07-28
145,2,2026-01-23,2030-02-07
145,5,2020-05-29,2031-01-03
146,1,2023-01-15,2030-05-24
146,2,2024-02-06,2029-02-02
147,1,2023-11-12,2029-02-27
147,2,2026-03-30,2027-01-28
147,3,2018-04-04,2028-04-30
148,1,2020-02-28,2028-10-24
149,1,2017-12-13,2027-11-24
149,2,2020-08-25,2028-01-16
149,4,2025-12-16,2027-03-15
150,1,2019-03-26,2026-08-02
150,2,2023-07-09,2030-05-24
150,3,2024-07-24,2029-01-14
151,1,2017-02-14,2028-07-13
151,2,2021-06-21,2028-12-19
151,5,2024-04-17,2027-03-03
152,1,2020-07-16,2028-10-23
153,1,2019-12-08,2030-03-06
153,2,2018-07-10,2031-03-12
154,1,2020-05-23,2027-10-30
155,1,2021-02-01,2027-10-09
155,2,2017-10-13,2027-01-26
156,1,2019-05-24,2029-03-06
156,2,2026-04-02,2029-01-06
157,1,2024-01-15,2027-08-15
158,1,2024-07-17,2029-02-23
158,2,2023-06-02,2028-11-16
159,1,2025-01-30,2031-02-26
160,1,2024-12-20,2030-04-15
161,1,2017-12-08,2026-11-25
162,1,2023-12-02,2029-04-21
162,2,2020-10-29,2026-10-13
163,1,2018-02-14,2028-07-05
163,2,2026-05-10,2031-07-23
163,5,2016-12-02,2028-11-08
164,1,2026-05-16,2026-11-26
165,1,2019-07-20,2030-07-25
166,1,2025-05-25,2030-04-28
166,2,2021-04-20,2028-02-08
166,3,2026-07-12,2030-04-09
167,1,2024-12-07,2027-05-04
168,1,2024-07-25,2029-07-10
169,1,2023-07-08,2029-05-25
169,2,2022-01-11,2027-06-14
170,1,2019-04-22,2029-05-14
170,2,2023-07-28,2030-10-11
171,1,2021-06-21,2029-12-20
171,2,2025-12-05,2026-11-16
172,1,2024-04-22,2027-04-24
172,2,2021-12-02,2028-09-16
172,5,2022-01-25,2027-07-20
173,1,2023-06-12,2030-12-09
174,1,2016-08-03,2031-03-06
174,2,2024-06-05,2030-01-28
175,1,2017-06-28,2028-02-27
175,2,2025-05-22,2029-08-22
176,1,2025-01-18,2030-04-28
176,2,2017-06-12,2028-04-17
177,1,2021-02-10,2031-03-27
177,2,2018-10-19,2029-01-04
178,1,2024-01-09,2030-09-07
178,2,2018-08-20,2026-10-22
179,1,2020-08-21,2027-11-29
180,1,2021-11-08,2031-04-01
181,1,2016-10-19,2031-04-05
182,1,2023-07-06,2027-05-10
182,2,2020-05-23,2027-07-12
183,1,2024-06-02,2027-07-24
184,1,2019-03-10,2030-10-20
184,4,2021-07-14,2030-11-22
185,1,2021-03-22,2030-02-04
186,1,2024-10-11,2030-07-31
187,1,2020-09-18,2030-06-13
187,2,2025-12-12,2027-10-17
188,1,2023-02-04,2028-03-08
188,2,2025-03-20,2027-09-22
188,3,2017-10-03,2028-11-29
189,1,2023-08-18,2029-06-14
189,2,2025-03-16,2028-11-01
189,3,2016-08-11,2028-12-19
190,1,2021-08-25,2031-07-22
191,1,2026-06-08,2030-09-23
191,2,2019-02-05,2030-05-12
191,5,2025-09-24,2030-09-06
192,1,2022-06-10,2029-05-22
192,2,2025-12-16,2031-03-09
193,1,2022-12-26,2030-06-08
194,1,2022-01-16,2028-03-02
194,2,2020-08-18,2031-06-05
195,1,2023-01-31,2028-07-19
195,4,2023-07-23,2026-12-07
196,1,2021-12-25,2030-08-02
196,2,2023-01-20,2029-11-05
197,1,2019-02-27,2030-10-10
197,2,2017-03-14,2027-08-21
198,1,2025-02-11,2029-05-21
198,2,2018-04-11,2030-04-22
198,5,2018-04-07,2031-01-14
199,1,2024-05-05,2026-09-10
199,2,2019-01-08,2030-01-18
199,4,2019-03-13,2027-03-14
200,1,2024-07-22,2028-10-25
200,2,2022-04-30,2029-12-10
201,1,2017-12-08,2029-05-10
201,2,2025-08-24,2029-10-17
202,1,2021-12-15,2030-09-18
202,2,2025-10-09,2026-11-13
203,1,2017-09-25,2028-07-23
204,1,2021-06-16,2028-06-30
204,2,2018-02-08,2030-04-03
205,1,2018-03-30,2027-06-02
205,2,2024-02-12,2027-12-23
206,1,2021-08-30,2026-10-22
206,2,2017-05-08,2029-04-27
207,1,2017-07-10,2029-01-21
207,4,2022-09-01,2029-10-01
208,1,2023-11-24,2027-10-20
209,1,2020-09-21,2031-01-30
210,1,2023-07-31,2031-05-18
211,1,2019-08-19,2028-01-04
212,1,2019-07-19,2027-03-27
212,2,2023-01-29,2028-08-11
213,1,2025-01-13,2031-07-10
214,1,2019-01-02,2028-07-15
215,1,2024-05-31,2028-09-21
215,2,2024-05-21,2028-09-25
216,1,2016-09-23,2030-07-09
217,1,2021-06-18,2031-03-19
217,2,2019-04-04,2027-03-11
218,1,2024-01-31,2029-07-02
219,1,2021-08-28,2030-03-04
219,2,2020-10-28,2030-06-13
220,1,2021-09-16,2028-04-03
220,2,2023-02-11,2030-09-03
