VIN,RegistrationNumber,VehicleCategoryID,Manufacturer,Model,ManufactureYear,CurrentOdometer,DepotID,OperationalStatus
72EF2Z9YCA7RT1T0A,65H-98853,2,Isuzu,NQR,2019,204836,4,Available
NKFGB7W81LKY2U9YK,29C-28029,5,Scania,R450,2023,81922,1,Available
5UGXCT8B97EFV3GTR,43C-89700,4,Toyota,Hilux,2019,194175,2,Available
RXJ2C9PFRT1243AN5,30H-85552,1,Mercedes-Benz,Sprinter,2018,285265,1,Assigned
LKVSL0G7A51NPPP1N,43H-70771,3,VinFast,EC Van,2022,93029,2,Available
2821M0XNBNPJS7M0A,30C-35457,3,VinFast,EC Van,2025,9078,1,Available
2Y7PW6UGP4JK8YNLP,50C-25300,1,Toyota,HiAce,2019,337849,3,Maintenance
7PL93ACZUY1FN0GG8,29H-37462,5,Hino,700 Series,2023,95140,1,Available
XX5FKNKMWSZDC1AW9,30H-67767,4,Toyota,Hilux,2023,75150,1,Available
N6938YNBMLDS006EW,30H-54112,2,Hyundai,Mighty EX8,2024,56013,1,Maintenance
