ReviewID,EventID,StaffID,ReviewDate,Comment,Recommendation,Outcome
96,1465,7,2017-11-03,Supervisor notified.,Driver assessment,Coaching Required
97,3170,40,2017-10-28,Requires monitoring.,Extra monitoring,Closed
98,2297,17,2017-11-01,Requires monitoring.,Safety coaching,Closed
99,3239,38,2017-10-31,Unsafe behaviour identified.,Extra monitoring,Closed
100,3347,5,2017-11-06,Unsafe behaviour identified.,Extra monitoring,Closed
101,1137,13,2017-11-11,Requires monitoring.,Extra monitoring,Closed
102,5030,17,2017-11-12,Low risk behaviour.,Driver reminder,Closed
103,1755,7,2017-11-23,Driver notified.,Safety coaching,Closed
104,2226,20,2017-11-20,Supervisor notified.,Formal coaching,Under Review
105,2303,20,2017-11-17,Requires monitoring.,Extra monitoring,Closed
106,2761,17,2017-11-24,Unsafe behaviour identified.,Safety coaching,Warning Issued
107,4687,13,2017-11-21,Serious safety concern.,Formal coaching,Coaching Required
108,1084,40,2017-11-21,Driver reminded.,Driver reminder,Closed
109,916,17,2017-11-25,Driver notified.,Safety coaching,Closed
110,5109,40,2017-11-26,Minor issue observed.,Continue monitoring,Closed
111,5043,20,2017-11-27,Immediate action required.,Driver assessment,Coaching Required
112,584,40,2017-11-26,Serious safety concern.,Formal coaching,Coaching Required
113,4951,40,2017-12-01,Unsafe behaviour identified.,Safety coaching,Warning Issued
114,2306,38,2017-12-08,Driver notified.,Extra monitoring,Closed
115,1537,38,2017-12-10,Driver notified.,Safety coaching,Warning Issued
116,164,17,2017-12-08,Driver notified.,Safety coaching,Closed
117,5026,28,2017-12-08,Minor issue observed.,Driver reminder,Closed
118,5041,13,2017-12-13,Immediate action required.,Driver assessment,Under Review
119,4639,5,2017-12-13,Serious safety concern.,Driver assessment,Coaching Required
120,2302,27,2017-12-15,Driver notified.,Extra monitoring,Closed
121,4055,27,2017-12-27,Driver notified.,Extra monitoring,Warning Issued
122,2308,13,2017-12-26,Driver notified.,Extra monitoring,Closed
123,3623,38,2017-12-29,Driver notified.,Extra monitoring,Closed
124,5443,16,2017-12-30,Low risk behaviour.,Driver reminder,Closed
125,4721,38,2018-01-08,Requires monitoring.,Safety coaching,Closed
126,4401,16,2018-01-05,Unsafe behaviour identified.,Safety coaching,Closed
127,1136,20,2018-01-11,Minor issue observed.,Continue monitoring,Closed
128,4139,38,2018-01-08,Unsafe behaviour identified.,Extra monitoring,Warning Issued
129,5009,17,2018-01-08,Driver notified.,Safety coaching,Closed
130,1157,20,2018-01-07,Immediate action required.,Driver assessment,Coaching Required
131,5029,7,2018-01-07,Low risk behaviour.,Driver reminder,Closed
132,996,40,2018-01-15,Requires monitoring.,Extra monitoring,Warning Issued
133,4947,17,2018-01-13,Driver notified.,Safety coaching,Closed
134,3297,20,2018-01-17,Minor issue observed.,Driver reminder,Closed
135,3554,27,2018-01-18,Unsafe behaviour identified.,Safety coaching,Closed
136,3192,27,2018-01-14,Immediate action required.,Formal coaching,Coaching Required
137,2309,27,2018-01-15,Minor issue observed.,Driver reminder,Closed
138,887,17,2018-01-27,Requires monitoring.,Extra monitoring,Closed
139,3974,17,2018-02-05,Unsafe behaviour identified.,Safety coaching,Closed
140,2877,17,2018-02-09,Requires monitoring.,Extra monitoring,Closed
141,2305,16,2018-02-13,Requires monitoring.,Extra monitoring,Warning Issued
142,2944,28,2018-02-12,Low risk behaviour.,Driver reminder,Closed
143,1932,13,2018-02-21,Driver reminded.,Continue monitoring,Closed
144,3981,13,2018-02-26,Immediate action required.,Driver assessment,Under Review
145,3360,27,2018-02-26,Requires monitoring.,Safety coaching,Closed
146,2879,40,2018-02-27,Driver reminded.,Continue monitoring,Closed
147,406,27,2018-03-01,Unsafe behaviour identified.,Safety coaching,Warning Issued
148,1155,40,2018-03-03,Driver notified.,Extra monitoring,Warning Issued
149,409,27,2018-03-04,Minor issue observed.,Continue monitoring,Closed
150,3491,13,2018-03-09,Unsafe behaviour identified.,Safety coaching,Closed
151,1610,38,2018-03-07,Serious safety concern.,Formal coaching,Under Review
152,4722,40,2018-03-09,Driver notified.,Safety coaching,Warning Issued
153,4642,5,2018-03-13,Unsafe behaviour identified.,Safety coaching,Warning Issued
154,2001,17,2018-03-17,Unsafe behaviour identified.,Safety coaching,Closed
155,4001,38,2018-03-26,Serious safety concern.,Driver assessment,Coaching Required
156,1754,38,2018-03-29,Minor issue observed.,Continue monitoring,Closed
157,5211,27,2018-04-05,Driver notified.,Safety coaching,Warning Issued
158,2883,28,2018-04-05,Minor issue observed.,Continue monitoring,Closed
159,405,20,2018-04-21,Driver reminded.,Driver reminder,Closed
160,2450,27,2018-04-25,Requires monitoring.,Safety coaching,Closed
161,1609,17,2018-04-24,Driver notified.,Safety coaching,Closed
162,5471,28,2018-04-30,Driver reminded.,Driver reminder,Closed
163,4937,28,2018-05-06,Requires monitoring.,Extra monitoring,Warning Issued
164,2121,27,2018-05-07,Driver notified.,Extra monitoring,Warning Issued
165,5423,16,2018-05-16,Supervisor notified.,Driver assessment,Coaching Required
166,4936,17,2018-05-15,Immediate action required.,Driver assessment,Coaching Required
167,2223,7,2018-05-18,Serious safety concern.,Driver assessment,Coaching Required
168,4219,16,2018-05-26,Serious safety concern.,Formal coaching,Under Review
169,3498,17,2018-06-04,Immediate action required.,Formal coaching,Coaching Required
170,1815,40,2018-06-02,Immediate action required.,Formal coaching,Under Review
171,2546,40,2018-06-10,Unsafe behaviour identified.,Extra monitoring,Warning Issued
172,433,40,2018-06-14,Unsafe behaviour identified.,Extra monitoring,Warning Issued
173,3089,16,2018-06-16,Driver reminded.,Driver reminder,Closed
174,1172,13,2018-06-17,Driver notified.,Safety coaching,Warning Issued
175,468,17,2018-06-25,Unsafe behaviour identified.,Extra monitoring,Warning Issued
176,4749,40,2018-06-23,Supervisor notified.,Formal coaching,Under Review
177,2313,27,2018-07-02,Driver notified.,Extra monitoring,Warning Issued
178,4002,20,2018-07-04,Driver notified.,Safety coaching,Warning Issued
179,2719,28,2018-07-09,Driver notified.,Safety coaching,Closed
180,1477,7,2018-07-11,Unsafe behaviour identified.,Safety coaching,Closed
181,5256,38,2018-07-10,Low risk behaviour.,Continue monitoring,Closed
182,1813,16,2018-07-18,Requires monitoring.,Extra monitoring,Warning Issued
183,3251,5,2018-07-18,Driver notified.,Extra monitoring,Warning Issued
184,4731,17,2018-07-21,Unsafe behaviour identified.,Extra monitoring,Warning Issued
185,5253,20,2018-07-16,Driver notified.,Extra monitoring,Closed
186,4011,20,2018-07-25,Serious safety concern.,Driver assessment,Under Review
187,4043,20,2018-07-25,Requires monitoring.,Extra monitoring,Warning Issued
188,1167,16,2018-07-29,Driver notified.,Safety coaching,Closed
189,1998,28,2018-07-27,Minor issue observed.,Continue monitoring,Closed
190,791,27,2018-07-30,Driver reminded.,Continue monitoring,Closed
191,3250,28,2018-08-01,Unsafe behaviour identified.,Extra monitoring,Closed
192,3249,27,2018-08-03,Unsafe behaviour identified.,Extra monitoring,Warning Issued
193,2547,27,2018-08-13,Requires monitoring.,Extra monitoring,Closed
194,5175,20,2018-08-14,Supervisor notified.,Driver assessment,Coaching Required
195,146,13,2018-08-18,Driver notified.,Safety coaching,Warning Issued
196,4042,40,2018-08-20,Driver notified.,Safety coaching,Closed
197,5482,28,2018-08-25,Immediate action required.,Formal coaching,Under Review
198,1102,40,2018-08-28,Unsafe behaviour identified.,Safety coaching,Closed
199,5421,27,2018-08-29,Supervisor notified.,Formal coaching,Under Review
200,5039,13,2018-09-02,Driver reminded.,Continue monitoring,Closed
201,76,27,2018-09-03,Unsafe behaviour identified.,Extra monitoring,Closed
202,2229,28,2018-09-04,Driver notified.,Extra monitoring,Warning Issued
203,2119,7,2018-09-07,Unsafe behaviour identified.,Extra monitoring,Warning Issued
204,2694,17,2018-09-06,Driver notified.,Safety coaching,Closed
205,3679,5,2018-09-09,Low risk behaviour.,Continue monitoring,Closed
206,457,7,2018-09-15,Immediate action required.,Formal coaching,Under Review
207,3854,5,2018-09-20,Unsafe behaviour identified.,Extra monitoring,Warning Issued
208,2856,13,2018-09-25,Unsafe behaviour identified.,Extra monitoring,Warning Issued
209,4257,17,2018-09-27,Unsafe behaviour identified.,Safety coaching,Closed
210,3367,7,2018-10-02,Driver notified.,Safety coaching,Closed
211,2483,17,2018-10-05,Driver notified.,Safety coaching,Warning Issued
212,3223,38,2018-10-02,Requires monitoring.,Safety coaching,Closed
213,3697,27,2018-10-02,Driver notified.,Safety coaching,Closed
214,942,28,2018-10-05,Driver reminded.,Continue monitoring,Closed
215,4618,7,2018-10-13,Low risk behaviour.,Continue monitoring,Closed
216,4593,13,2018-10-17,Requires monitoring.,Safety coaching,Closed
217,4256,17,2018-10-23,Driver notified.,Extra monitoring,Warning Issued
218,1252,28,2018-10-23,Driver notified.,Safety coaching,Warning Issued
219,1052,17,2018-10-25,Requires monitoring.,Safety coaching,Closed
220,4232,16,2018-10-21,Supervisor notified.,Driver assessment,Under Review
221,2378,5,2018-10-27,Serious safety concern.,Driver assessment,Coaching Required
222,943,38,2018-10-30,Unsafe behaviour identified.,Extra monitoring,Closed
223,3277,13,2018-11-02,Driver reminded.,Driver reminder,Closed
224,4802,16,2018-11-01,Low risk behaviour.,Continue monitoring,Closed
225,4012,28,2018-11-07,Driver notified.,Safety coaching,Closed
226,3493,20,2018-11-05,Immediate action required.,Driver assessment,Under Review
227,2975,40,2018-11-03,Driver notified.,Extra monitoring,Warning Issued
228,3606,7,2018-11-04,Unsafe behaviour identified.,Safety coaching,Warning Issued
229,4671,38,2018-11-11,Unsafe behaviour identified.,Safety coaching,Closed
230,3577,17,2018-11-15,Driver notified.,Extra monitoring,Warning Issued
231,147,28,2018-11-09,Driver reminded.,Driver reminder,Closed
232,3655,16,2018-11-17,Driver reminded.,Driver reminder,Closed
233,2973,7,2018-11-18,Immediate action required.,Formal coaching,Coaching Required
234,5331,27,2018-11-17,Requires monitoring.,Extra monitoring,Closed
235,3363,28,2018-11-20,Unsafe behaviour identified.,Extra monitoring,Closed
236,3674,20,2018-12-03,Unsafe behaviour identified.,Safety coaching,Closed
237,3222,16,2018-12-07,Immediate action required.,Formal coaching,Under Review
238,2379,27,2018-12-04,Low risk behaviour.,Continue monitoring,Closed
239,1232,7,2018-12-10,Unsafe behaviour identified.,Extra monitoring,Closed
240,2921,20,2018-12-11,Driver notified.,Safety coaching,Closed
241,5333,13,2018-12-15,Driver notified.,Safety coaching,Closed
242,326,5,2018-12-11,Driver notified.,Safety coaching,Warning Issued
243,1233,27,2018-12-16,Immediate action required.,Driver assessment,Under Review
244,3582,17,2018-12-15,Requires monitoring.,Extra monitoring,Warning Issued
245,2701,27,2018-12-18,Immediate action required.,Formal coaching,Coaching Required
246,1667,7,2018-12-18,Requires monitoring.,Safety coaching,Closed
247,4981,27,2018-12-22,Requires monitoring.,Safety coaching,Warning Issued
248,771,27,2018-12-26,Unsafe behaviour identified.,Extra monitoring,Closed
249,1099,28,2018-12-31,Low risk behaviour.,Continue monitoring,Closed
250,4689,16,2019-01-02,Unsafe behaviour identified.,Extra monitoring,Closed
251,3555,40,2019-01-06,Unsafe behaviour identified.,Safety coaching,Warning Issued
252,5479,38,2018-12-31,Low risk behaviour.,Continue monitoring,Closed
253,809,28,2019-01-04,Driver notified.,Safety coaching,Closed
254,4991,17,2019-01-07,Supervisor notified.,Driver assessment,Coaching Required
255,2771,20,2019-01-09,Driver reminded.,Continue monitoring,Closed
256,5120,28,2019-01-10,Driver reminded.,Driver reminder,Closed
257,4672,7,2019-01-12,Unsafe behaviour identified.,Safety coaching,Warning Issued
258,3781,16,2019-01-18,Unsafe behaviour identified.,Extra monitoring,Closed
259,4670,28,2019-01-16,Requires monitoring.,Extra monitoring,Closed
260,4751,13,2019-01-17,Driver reminded.,Continue monitoring,Closed
261,174,7,2019-01-17,Unsafe behaviour identified.,Extra monitoring,Closed
262,1169,20,2019-01-22,Requires monitoring.,Extra monitoring,Closed
263,329,40,2019-01-19,Driver notified.,Safety coaching,Closed
264,2277,7,2019-01-27,Driver reminded.,Driver reminder,Closed
265,459,27,2019-01-26,Driver notified.,Extra monitoring,Closed
266,3588,5,2019-01-30,Driver notified.,Extra monitoring,Closed
267,558,20,2019-02-01,Supervisor notified.,Driver assessment,Under Review
268,3991,7,2019-01-31,Requires monitoring.,Extra monitoring,Warning Issued
269,5398,27,2019-02-04,Unsafe behaviour identified.,Safety coaching,Closed
270,881,20,2019-02-09,Driver notified.,Extra monitoring,Closed
271,1911,28,2019-02-09,Driver reminded.,Continue monitoring,Closed
272,664,28,2019-02-09,Requires monitoring.,Extra monitoring,Closed
273,4691,13,2019-02-11,Driver notified.,Safety coaching,Closed
274,3711,38,2019-02-20,Requires monitoring.,Safety coaching,Closed
275,2478,28,2019-02-19,Low risk behaviour.,Continue monitoring,Closed
276,145,20,2019-02-22,Driver reminded.,Driver reminder,Closed
277,4268,7,2019-02-26,Requires monitoring.,Safety coaching,Closed
278,4992,20,2019-02-23,Serious safety concern.,Driver assessment,Coaching Required
279,810,20,2019-02-27,Requires monitoring.,Extra monitoring,Closed
280,3301,7,2019-03-02,Driver notified.,Safety coaching,Warning Issued
281,2477,13,2019-03-04,Driver notified.,Extra monitoring,Closed
282,3374,20,2019-03-06,Supervisor notified.,Driver assessment,Under Review
283,4022,17,2019-03-03,Requires monitoring.,Safety coaching,Warning Issued
284,5215,38,2019-03-05,Unsafe behaviour identified.,Extra monitoring,Closed
285,2548,38,2019-03-11,Minor issue observed.,Continue monitoring,Closed
286,4025,28,2019-03-13,Minor issue observed.,Driver reminder,Closed
287,3709,38,2019-03-10,Driver notified.,Extra monitoring,Closed
288,95,38,2019-03-10,Serious safety concern.,Formal coaching,Under Review
289,703,40,2019-03-16,Requires monitoring.,Safety coaching,Warning Issued
290,2603,16,2019-03-17,Driver notified.,Extra monitoring,Warning Issued
291,4023,7,2019-03-21,Driver notified.,Extra monitoring,Closed
292,2124,7,2019-03-21,Unsafe behaviour identified.,Extra monitoring,Closed
293,4154,5,2019-03-23,Driver notified.,Extra monitoring,Closed
294,4619,13,2019-03-22,Requires monitoring.,Extra monitoring,Closed
295,2168,27,2019-03-24,Unsafe behaviour identified.,Extra monitoring,Closed
296,5213,16,2019-03-23,Requires monitoring.,Extra monitoring,Closed
297,97,20,2019-03-26,Driver notified.,Safety coaching,Warning Issued
298,1203,16,2019-03-31,Supervisor notified.,Formal coaching,Under Review
299,4270,16,2019-04-01,Driver notified.,Safety coaching,Warning Issued
300,1913,7,2019-04-03,Minor issue observed.,Continue monitoring,Closed
301,3654,38,2019-03-29,Driver reminded.,Continue monitoring,Closed
302,3557,13,2019-04-03,Driver reminded.,Driver reminder,Closed
303,25,20,2019-04-03,Serious safety concern.,Formal coaching,Coaching Required
304,3784,27,2019-04-03,Serious safety concern.,Driver assessment,Coaching Required
305,4988,5,2019-04-09,Serious safety concern.,Driver assessment,Coaching Required
306,4986,28,2019-04-06,Driver reminded.,Driver reminder,Closed
307,5217,38,2019-04-07,Driver notified.,Extra monitoring,Warning Issued
308,3370,16,2019-04-09,Unsafe behaviour identified.,Extra monitoring,Warning Issued
309,560,27,2019-04-13,Requires monitoring.,Safety coaching,Closed
310,663,7,2019-04-11,Unsafe behaviour identified.,Safety coaching,Warning Issued
311,3006,40,2019-04-15,Immediate action required.,Driver assessment,Under Review
312,4829,38,2019-04-21,Unsafe behaviour identified.,Safety coaching,Closed
313,3009,16,2019-04-30,Driver notified.,Extra monitoring,Warning Issued
314,2344,38,2019-05-01,Unsafe behaviour identified.,Safety coaching,Warning Issued
315,2577,17,2019-04-30,Driver notified.,Extra monitoring,Warning Issued
316,667,28,2019-05-05,Requires monitoring.,Safety coaching,Closed
317,1564,16,2019-05-04,Requires monitoring.,Extra monitoring,Closed
318,1166,13,2019-05-05,Unsafe behaviour identified.,Extra monitoring,Warning Issued
319,4804,20,2019-05-05,Requires monitoring.,Extra monitoring,Closed
320,5119,16,2019-05-09,Unsafe behaviour identified.,Extra monitoring,Closed
321,559,20,2019-05-11,Minor issue observed.,Continue monitoring,Closed
322,3590,27,2019-05-08,Unsafe behaviour identified.,Safety coaching,Closed
323,3753,5,2019-05-15,Serious safety concern.,Driver assessment,Under Review
324,3445,40,2019-05-11,Supervisor notified.,Driver assessment,Coaching Required
325,1725,40,2019-05-13,Requires monitoring.,Safety coaching,Closed
326,1625,28,2019-05-16,Driver reminded.,Continue monitoring,Closed
327,3614,5,2019-05-21,Requires monitoring.,Extra monitoring,Closed
328,4724,17,2019-05-22,Driver notified.,Extra monitoring,Warning Issued
329,1566,40,2019-05-21,Requires monitoring.,Extra monitoring,Warning Issued
330,308,13,2019-05-27,Driver notified.,Extra monitoring,Closed
331,4564,13,2019-05-25,Requires monitoring.,Safety coaching,Warning Issued
332,3504,7,2019-05-26,Requires monitoring.,Extra monitoring,Warning Issued
333,1478,7,2019-05-24,Driver notified.,Extra monitoring,Closed
334,3760,28,2019-05-26,Requires monitoring.,Extra monitoring,Warning Issued
335,305,20,2019-05-31,Requires monitoring.,Safety coaching,Closed
336,228,5,2019-06-03,Unsafe behaviour identified.,Extra monitoring,Warning Issued
337,2770,7,2019-06-07,Unsafe behaviour identified.,Extra monitoring,Warning Issued
338,2105,20,2019-06-13,Driver notified.,Extra monitoring,Closed
339,835,20,2019-06-14,Serious safety concern.,Formal coaching,Coaching Required
340,2164,7,2019-06-11,Driver reminded.,Continue monitoring,Closed
341,4827,28,2019-06-18,Requires monitoring.,Safety coaching,Closed
342,4838,27,2019-06-21,Driver notified.,Safety coaching,Warning Issued
343,2314,5,2019-06-19,Driver notified.,Safety coaching,Warning Issued
344,3004,7,2019-06-29,Requires monitoring.,Extra monitoring,Warning Issued
345,4875,13,2019-06-27,Driver notified.,Extra monitoring,Closed
346,2299,13,2019-07-09,Low risk behaviour.,Driver reminder,Closed
347,2582,5,2019-07-08,Supervisor notified.,Driver assessment,Under Review
348,4309,13,2019-07-09,Low risk behaviour.,Driver reminder,Closed
349,1350,27,2019-07-14,Low risk behaviour.,Continue monitoring,Closed
350,5225,17,2019-07-10,Requires monitoring.,Extra monitoring,Warning Issued
351,1656,40,2019-07-17,Low risk behaviour.,Driver reminder,Closed
352,1567,28,2019-07-20,Supervisor notified.,Formal coaching,Coaching Required
353,3762,7,2019-07-23,Immediate action required.,Driver assessment,Coaching Required
354,5065,40,2019-07-25,Requires monitoring.,Extra monitoring,Warning Issued
355,1088,17,2019-07-20,Driver notified.,Extra monitoring,Closed
356,3303,7,2019-07-28,Low risk behaviour.,Driver reminder,Closed
357,4839,20,2019-08-02,Unsafe behaviour identified.,Extra monitoring,Closed
358,3759,38,2019-08-09,Requires monitoring.,Extra monitoring,Closed
359,665,28,2019-08-10,Requires monitoring.,Safety coaching,Warning Issued
360,1218,17,2019-08-11,Supervisor notified.,Driver assessment,Under Review
361,5394,28,2019-08-20,Unsafe behaviour identified.,Safety coaching,Warning Issued
362,2493,16,2019-08-24,Minor issue observed.,Driver reminder,Closed
363,1888,16,2019-08-27,Serious safety concern.,Driver assessment,Under Review
364,2246,7,2019-08-31,Requires monitoring.,Extra monitoring,Closed
365,4359,7,2019-08-28,Minor issue observed.,Driver reminder,Closed
366,2538,5,2019-09-08,Immediate action required.,Driver assessment,Coaching Required
367,4569,16,2019-09-08,Minor issue observed.,Continue monitoring,Closed
368,4649,5,2019-09-10,Driver reminded.,Continue monitoring,Closed
369,1405,17,2019-09-11,Driver notified.,Extra monitoring,Warning Issued
370,689,7,2019-09-14,Driver notified.,Safety coaching,Warning Issued
371,2599,16,2019-09-13,Minor issue observed.,Continue monitoring,Closed
372,3376,16,2019-09-16,Driver notified.,Safety coaching,Closed
373,3764,5,2019-09-20,Serious safety concern.,Driver assessment,Coaching Required
374,187,38,2019-09-21,Immediate action required.,Driver assessment,Under Review
375,691,17,2019-09-21,Serious safety concern.,Driver assessment,Coaching Required
376,1217,16,2019-09-20,Unsafe behaviour identified.,Extra monitoring,Closed
377,1090,16,2019-09-21,Driver notified.,Safety coaching,Warning Issued
378,690,27,2019-09-20,Serious safety concern.,Formal coaching,Coaching Required
379,4824,38,2019-09-29,Requires monitoring.,Safety coaching,Warning Issued
380,5301,13,2019-09-25,Serious safety concern.,Formal coaching,Coaching Required
381,4828,28,2019-10-02,Unsafe behaviour identified.,Safety coaching,Closed
382,1912,5,2019-10-01,Requires monitoring.,Safety coaching,Closed
383,2107,5,2019-09-29,Minor issue observed.,Continue monitoring,Closed
384,1951,28,2019-10-16,Requires monitoring.,Safety coaching,Warning Issued
385,2368,5,2019-10-20,Unsafe behaviour identified.,Extra monitoring,Closed
386,727,17,2019-10-21,Requires monitoring.,Extra monitoring,Warning Issued
387,745,38,2019-10-24,Serious safety concern.,Driver assessment,Under Review
388,3669,27,2019-10-25,Unsafe behaviour identified.,Extra monitoring,Warning Issued
389,463,5,2019-10-23,Requires monitoring.,Safety coaching,Warning Issued
