ActivityID,PartID,QuantityUsed,UnitCostAtTime
93,18,5,58022.26
94,8,3,2078841.89
95,13,2,180977.02
96,14,4,1226705.75
98,17,4,969504.64
98,11,5,28166.61
98,15,4,449493.95
99,6,2,1546817.4
102,1,2,327312.07
102,6,5,1489364.97
102,2,5,113980.76
104,10,2,2756736.63
104,1,5,384152.47
104,6,5,1445189.39
105,13,5,212600.26
105,6,5,1478022.23
105,8,5,2176201.99
106,1,4,346504.88
107,9,3,3370120.76
108,10,4,2665909.19
108,7,3,177835.41
108,15,3,426104.42
108,2,3,115673.03
109,1,1,324686.18
109,15,2,439473.18
109,5,2,676834.49
109,3,1,176935.24
110,16,5,2482962.15
110,11,1,28241.01
111,9,4,3459096.63
111,2,5,130705.49
111,18,1,64280.78
112,7,4,179171.27
112,6,3,1439583.8
112,9,4,3426206.69
112,3,4,181375.94
113,1,5,377846.79
113,2,4,113266.12
113,7,4,179483.11
113,14,4,1160671.09
114,3,2,192258.2
114,15,2,493264.98
114,13,5,181078.66
115,13,5,202575.68
115,12,1,2567010.58
115,5,4,602640.93
116,3,2,163810.25
116,15,4,434461.74
116,12,4,2703033.65
117,2,3,126048.24
117,8,4,2090999.47
117,12,1,2783371.83
118,15,1,494991.7
118,12,3,2645564.41
118,7,1,190124.39
118,2,1,126101.6
119,17,2,961061.19
120,5,2,616010.84
120,9,4,3308453.66
120,12,5,3050743.93
120,1,4,363962.55
121,10,2,2655064.2
121,1,1,369445.43
122,17,3,829457.77
124,6,5,1553204.19
124,15,4,440698.9
125,13,1,203683.91
126,7,1,187098.95
127,17,5,954995.03
127,1,5,369784.47
128,12,5,2759891.69
128,1,3,319826.97
129,4,1,256779.63
129,17,4,828997.0
130,6,4,1562192.59
130,12,4,2618636.7
131,8,3,2251001.44
131,10,5,2742813.55
131,18,4,59226.89
131,12,5,2670301.5
132,14,1,1146942.78
133,3,2,189017.15
133,10,5,2657372.49
133,17,4,870551.39
134,10,3,2434556.73
134,8,2,2136122.99
134,12,3,2710589.75
135,18,3,60669.49
135,2,5,130753.5
135,8,1,2086196.66
135,1,4,349200.45
136,6,4,1543770.87
137,2,4,127030.39
137,3,1,172592.48
137,1,4,363425.1
138,12,5,2726651.45
138,18,5,60371.06
139,4,5,231877.98
139,11,4,28625.5
139,12,3,2649101.3
140,13,3,184782.19
141,15,2,422238.69
141,6,4,1432949.89
141,12,5,3066899.93
141,2,5,122322.98
143,16,3,2363741.58
144,18,3,54169.78
145,7,2,171875.21
145,9,1,3234149.74
145,8,2,2260662.65
145,1,4,322181.14
147,5,3,646021.6
147,2,4,116176.94
147,3,1,171089.22
147,15,4,415267.84
149,13,4,182963.29
149,15,1,418655.43
149,4,5,261558.03
151,16,1,2529036.52
152,7,5,183460.57
152,3,5,170124.74
152,12,5,2733011.69
153,10,3,2787286.67
153,8,4,2114367.31
153,5,5,592829.94
155,11,2,28587.88
157,9,2,2991240.67
159,6,1,1472555.27
160,18,4,57495.11
160,13,2,191524.2
160,12,3,2913673.03
160,11,4,27427.08
161,10,3,2749670.57
162,9,2,3152088.94
162,12,5,2645893.29
162,10,2,2812373.95
162,7,2,164570.75
163,17,3,917107.93
164,1,3,345740.74
164,15,4,466981.02
164,11,4,32656.06
164,4,5,241919.12
165,12,1,2854900.53
165,17,4,942216.11
165,2,5,114008.83
167,15,5,457841.06
169,17,5,817241.7
169,9,2,3181120.53
170,14,3,1123557.4
170,3,5,177691.86
170,11,4,32814.33
171,9,3,3141342.78
171,1,3,361909.35
171,13,2,193192.15
172,10,3,2684543.44
172,18,4,63762.79
172,8,5,1996146.74
174,2,3,115758.57
174,16,4,2682455.29
176,7,4,176876.91
176,18,2,60221.27
176,12,5,2943608.17
176,8,4,2314395.84
177,17,3,908859.54
178,15,4,484276.2
178,14,4,1109142.26
179,11,2,31258.7
179,18,3,60610.07
179,8,5,2159515.9
179,1,2,384458.0
181,13,1,205908.39
181,4,2,239922.02
181,5,3,651153.36
182,4,4,256066.75
182,5,4,616685.02
183,2,2,117206.06
183,11,5,30049.45
183,3,2,193104.97
183,6,3,1581802.54
184,3,3,195632.94
184,2,5,114412.14
184,10,1,2487076.27
185,4,5,243836.32
185,14,4,1287662.54
186,12,5,2791231.18
186,16,3,2525958.71
186,1,5,341404.7
187,1,2,383654.22
187,8,2,2231590.96
188,13,4,181745.89
189,10,4,2540760.95
189,5,2,649392.72
189,7,1,166544.87
190,1,3,375879.02
190,5,4,597962.52
190,8,4,1986752.94
190,11,2,29459.87
191,5,1,646033.78
192,15,3,461093.35
192,10,4,2677915.06
193,5,5,634401.22
193,15,3,461411.93
194,2,5,108861.58
194,4,1,227268.97
194,17,3,989536.67
196,8,1,2314562.66
196,11,1,29662.07
196,17,3,972616.33
198,2,1,115040.83
198,14,3,1183364.83
199,12,5,2750748.98
200,13,2,187002.77
201,3,4,184309.57
201,16,2,2498833.63
201,12,5,2600145.92
201,8,4,2260678.04
202,5,3,671689.29
202,4,4,259258.05
202,17,5,838435.61
203,1,3,384135.62
203,3,3,185001.79
203,6,4,1557094.05
204,11,3,28195.3
204,8,4,2355467.6
204,9,1,3031811.65
205,12,3,2841894.68
205,4,3,217053.1
205,6,4,1432344.11
205,15,5,482856.07
207,5,4,693269.06
207,13,3,211029.64
207,8,2,2247108.6
207,17,3,849420.82
208,4,5,228030.09
209,7,1,194522.53
211,8,4,1994680.39
211,6,3,1569707.93
213,2,3,125939.54
213,13,2,188031.79
214,7,3,181110.69
214,14,3,1279313.43
214,3,3,194905.76
214,8,4,2405648.99
215,16,3,2652116.27
215,6,4,1638867.99
216,2,2,128643.37
217,12,5,2724834.03
217,17,4,812505.36
217,10,5,2404266.14
218,13,3,203382.4
218,14,3,1106003.06
219,7,4,162900.89
220,17,3,974746.06
220,15,2,463288.71
220,2,4,129825.3
220,8,3,2265665.36
222,7,1,196065.42
223,4,4,221573.78
223,2,2,129294.22
224,1,4,346755.06
225,10,4,2645416.98
225,18,2,64624.97
225,12,1,2986868.13
225,9,5,3141194.17
226,11,1,31141.68
226,1,2,346036.82
227,12,3,2575638.59
228,4,5,259281.42
228,12,3,2553908.05
229,1,2,382774.48
229,10,4,2387670.18
230,8,5,2407281.06
232,10,2,2854186.87
232,17,5,846937.0
233,1,2,356046.82
233,11,2,28971.36
233,9,2,3384732.0
233,3,5,162102.08
234,16,2,2520107.73
235,18,1,61932.69
237,13,1,194329.69
238,5,5,627090.29
239,15,3,409715.91
240,7,5,166091.38
240,11,1,29857.48
240,13,3,200529.52
242,15,5,424939.48
242,4,5,218081.52
242,14,5,1152391.28
245,8,4,2167560.39
245,14,1,1197664.52
245,1,4,320144.35
247,4,5,223120.02
247,13,2,191000.64
248,12,5,2918805.57
248,3,4,197806.6
248,13,5,191795.91
248,11,5,30632.56
251,18,2,59160.84
251,12,2,2751735.6
251,13,4,195949.21
251,11,1,28875.29
252,2,3,116983.22
252,18,2,62241.85
253,9,1,2938383.86
253,2,1,110237.52
253,11,1,31467.53
254,2,2,121352.9
254,12,5,3055709.79
255,5,3,672101.72
255,11,4,29121.59
255,1,4,375766.45
255,12,1,3062303.23
256,3,3,174659.26
256,15,5,450667.13
256,9,2,3300311.23
256,5,2,695145.73
257,5,5,632782.94
257,10,3,2638532.0
258,5,5,711691.06
258,3,5,184088.64
258,13,5,181050.15
259,2,1,112329.99
259,14,3,1301169.01
260,4,1,224707.47
260,13,2,202652.84
261,18,1,55702.5
261,1,1,321423.04
261,14,5,1131631.89
262,18,4,58090.75
262,15,3,433047.36
262,1,3,369378.49
263,9,5,2934372.51
263,1,1,325890.59
263,3,5,163791.45
263,18,1,57265.23
264,12,4,2859962.56
264,1,4,334121.68
264,6,5,1384145.25
265,6,1,1434973.94
265,13,5,199465.31
265,10,3,2363617.03
266,15,5,409930.38
266,17,2,864255.49
266,16,2,2633674.76
267,6,3,1448436.71
267,9,1,3198326.61
268,2,2,111100.46
268,6,5,1561101.38
268,3,5,182114.05
269,9,1,3134125.55
269,8,1,2171936.62
270,16,1,2681055.01
270,14,5,1183028.23
270,5,4,677234.87
271,6,3,1384552.01
271,7,1,196783.19
271,10,2,2756687.52
272,9,4,3412496.58
272,12,3,2569352.73
272,11,1,28459.9
272,7,5,176416.19
274,14,3,1258993.16
274,16,2,2416534.31
274,9,2,2928882.8
276,10,5,2440829.93
276,13,3,194043.99
276,15,2,426264.2
276,8,2,2092626.02
277,7,5,167503.31
279,5,4,645313.9
280,3,5,178160.59
280,15,5,462869.26
280,7,5,173635.5
280,6,3,1395287.22
282,18,4,61576.62
282,2,3,122194.07
282,14,3,1201760.85
283,7,4,178268.9
283,9,1,3115992.06
284,15,1,463019.98
284,11,1,30690.05
285,9,4,3176135.46
285,5,5,709050.09
285,6,1,1484920.11
285,18,5,61822.05
286,2,5,119415.1
286,17,2,982390.02
287,14,1,1274632.03
287,1,3,383766.99
287,18,1,60054.59
288,8,1,2089007.24
289,15,4,452166.17
289,3,5,167714.86
289,2,3,130030.48
290,7,4,189880.73
290,13,5,182094.62
290,2,3,109581.88
292,6,4,1435244.09
292,7,5,193438.07
292,11,3,27489.01
292,10,2,2816708.16
293,5,4,601763.72
293,11,1,28857.49
294,11,3,31879.11
294,4,5,220485.74
294,7,4,180305.59
296,2,3,112326.31
296,11,2,29050.39
297,10,2,2457802.38
297,6,2,1396483.55
297,4,3,256532.56
299,3,5,192064.31
299,18,5,54452.97
299,2,3,129033.43
299,17,5,833588.83
300,7,2,167840.9
300,1,5,371633.06
300,11,2,31327.1
302,14,3,1242327.1
302,9,2,3500536.71
302,1,5,334944.96
303,5,2,654421.45
303,17,3,983807.39
303,9,4,3458543.58
304,3,3,186419.05
305,12,4,2778540.79
305,13,3,211124.96
305,16,5,2513729.89
305,9,2,3402810.39
306,5,2,698490.25
306,12,1,2879060.26
306,17,3,909817.33
306,15,1,469026.09
307,11,1,28710.38
307,9,2,3054586.43
307,10,5,2416621.3
307,7,4,165301.69
308,15,4,484616.68
310,13,1,195858.16
310,7,3,170488.01
310,1,1,341243.89
312,8,1,2349237.57
312,5,3,687879.48
313,5,1,622294.32
314,1,2,368118.88
314,16,4,2474300.74
314,15,1,486527.17
316,9,2,3414376.38
316,3,5,195848.13
317,8,5,2166232.09
317,17,3,852775.24
317,15,1,409297.45
317,2,4,123334.84
318,10,4,2372659.72
318,11,4,30580.43
318,16,1,2565977.47
318,5,5,616451.96
319,5,3,640801.06
320,6,3,1422169.27
320,7,4,168743.3
320,3,1,180845.44
320,4,3,219248.61
321,6,5,1502198.31
321,8,5,2223826.86
321,1,4,376133.2
321,10,1,2670548.81
322,14,3,1259355.98
322,16,3,2644260.01
323,15,2,470964.69
323,8,1,2319460.6
324,8,2,1999507.7
324,13,5,193541.89
325,14,4,1315396.6
326,12,2,2974438.7
326,6,1,1564813.52
326,5,4,589807.89
327,6,1,1587332.76
329,4,3,240738.41
329,13,5,198935.99
331,1,3,339988.19
333,8,3,2034769.0
333,9,3,3159648.89
334,10,4,2805211.5
334,13,4,193561.47
334,8,2,2198329.42
335,1,3,379701.73
335,16,5,2383360.35
335,6,1,1568124.4
337,4,5,263764.71
337,1,2,353183.21
337,18,3,55231.17
338,3,3,173033.85
338,9,5,3339304.26
339,15,4,436639.23
341,6,5,1649445.18
341,1,3,359762.85
344,4,3,240628.13
344,9,2,3489785.21
344,6,2,1604600.79
345,3,1,166544.28
345,18,2,63342.18
345,17,3,875187.1
346,5,1,663662.33
346,17,4,980788.24
346,11,3,29663.64
346,3,1,182661.18
347,18,3,58776.41
347,9,3,3039751.46
347,14,1,1086219.2
347,15,2,449913.96
348,6,5,1385328.3
348,15,3,468363.4
348,16,2,2748182.56
349,1,4,329012.48
349,6,2,1605847.89
350,17,2,971762.23
350,2,4,131934.3
350,7,3,186042.23
352,15,5,431132.61
352,12,3,2996762.75
352,8,2,2329226.41
352,11,5,28345.45
353,1,2,331571.53
354,2,1,116661.52
354,8,5,2142320.91
354,16,5,2314885.61
357,15,4,494963.55
357,9,4,3216445.22
358,16,5,2286875.36
358,18,3,61708.06
358,9,4,3178133.25
359,3,3,166620.05
359,4,5,246710.11
359,8,2,2317823.92
359,14,2,1183828.39
362,8,2,2113814.8
362,10,2,2507783.59
362,7,2,174456.83
362,18,5,64739.11
364,2,2,123241.37
364,3,5,171880.24
365,15,5,453013.02
365,16,5,2570493.71
366,2,5,111700.66
366,13,5,208825.31
366,15,5,435385.76
366,6,5,1362358.29
370,2,3,123627.12
370,14,5,1179980.83
370,7,1,179929.37
370,17,5,862140.9
371,14,4,1138770.7
371,4,4,230276.83
374,18,4,58987.46
375,4,2,232329.24
375,7,2,173252.97
375,10,3,2721783.87
376,14,4,1111383.88
376,2,3,120359.52
378,9,2,3178542.44
378,12,3,2771773.77
379,4,1,218429.05
380,5,5,639357.52
380,1,2,371943.45
380,7,5,187960.62
381,18,2,59979.19
382,18,4,59985.12
382,10,3,2598632.54
382,17,1,980141.9
382,2,5,118973.54
383,16,2,2541672.06
386,17,4,917553.38
386,4,4,229715.92
389,8,2,2368280.52
389,5,3,684301.38
389,6,3,1363572.72
391,2,5,112671.73
391,9,5,3064705.09
391,6,4,1501276.66
391,7,5,172069.94
392,17,5,831385.98
392,15,1,440451.33
392,3,3,182081.95
392,12,3,2942780.5
393,8,5,2204013.91
394,17,1,818154.6
394,8,2,2293980.41
394,4,4,240927.97
394,16,2,2553130.26
395,1,2,337957.61
395,3,5,173467.08
395,8,4,2415870.92
395,2,3,122249.39
396,7,5,181164.23
396,12,5,2687882.72
396,4,1,233681.17
396,5,1,712386.74
397,16,3,2648377.41
397,13,1,203876.38
397,12,3,3061559.59
397,1,5,355434.41
399,16,4,2335256.03
399,11,5,31647.64
399,12,4,2602754.4
399,2,2,108757.69
401,8,1,2174056.97
402,10,2,2554739.26
402,9,2,3142641.54
402,5,5,704667.72
404,4,5,225952.4
405,15,4,452292.94
405,5,3,709369.11
406,3,5,174323.77
406,7,3,186331.27
406,4,3,245283.68
407,14,2,1146961.54
408,16,2,2720742.77
408,2,3,126508.18
409,6,4,1445112.22
410,11,5,32602.2
410,6,3,1436336.81
411,3,5,175668.99
411,4,4,255282.12
411,1,2,335331.69
411,11,3,32731.88
413,6,4,1546791.62
413,4,4,226271.37
414,10,3,2825172.45
414,5,3,602845.48
414,12,5,2934898.95
414,8,2,2086681.54
415,13,2,205517.78
415,17,1,828035.63
415,9,3,3339109.16
415,11,1,31087.15
416,12,1,3060130.51
417,16,4,2576446.4
418,1,4,360537.71
418,12,3,2699853.91
418,11,1,32447.62
420,15,2,453163.7
420,5,1,703719.86
420,9,2,3147446.39
420,8,2,2390925.95
422,17,4,843536.09
422,15,3,483906.89
422,1,1,335887.45
423,17,1,977121.87
423,13,3,191382.47
423,4,5,241167.29
423,18,2,64212.72
424,14,3,1126274.74
424,6,1,1449205.23
424,17,4,926691.36
425,12,1,2932506.02
426,18,5,62092.81
426,5,2,607814.34
427,13,4,200611.23
427,17,1,882149.98
427,1,1,327934.68
428,16,4,2411800.84
429,7,1,171388.27
430,4,4,252180.32
431,8,3,2236282.73
431,5,5,586486.65
432,8,2,2007334.71
432,1,1,347577.65
433,6,4,1555822.09
434,15,1,462484.02
434,17,3,876157.9
435,10,2,2837827.48
436,12,2,2774788.06
436,15,5,438626.24
436,8,5,2381630.63
437,1,2,368330.17
437,10,5,2794030.23
437,3,1,180918.24
437,7,5,187335.58
439,18,1,54741.1
439,4,5,259338.63
439,7,2,182617.26
439,2,2,111948.89
440,18,4,55394.88
440,9,2,3338827.5
440,6,4,1377282.49
440,14,5,1186915.85
442,17,2,902384.61
442,18,4,60766.93
442,15,5,446614.05
443,18,1,58751.38
443,12,1,2937650.51
444,18,1,54543.48
444,4,3,249618.47
444,6,5,1648237.1
444,16,1,2743068.62
445,10,1,2489287.17
445,18,2,63227.66
445,1,4,341212.26
446,7,4,193306.33
446,3,4,175523.24
446,4,5,222383.51
447,15,1,421062.63
447,3,5,176150.11
448,9,2,3414285.83
450,6,4,1552049.96
450,12,5,2757511.7
451,3,2,170910.43
451,17,3,837921.85
451,6,2,1631223.11
454,15,5,473944.81
454,4,1,227551.98
454,18,1,55210.76
456,10,5,2689452.29
456,7,1,170810.43
456,1,1,343158.57
457,8,5,2075598.45
459,14,5,1318436.03
460,11,5,28913.42
461,6,3,1421071.21
461,2,2,131656.69
461,15,5,424893.85
461,10,3,2483080.04
462,4,5,258226.27
462,3,2,184535.75
462,18,4,60670.21
462,11,1,32833.74
463,1,5,337311.41
463,12,4,2748625.14
463,15,3,438881.42
464,11,4,28445.81
464,1,2,336051.55
464,8,2,2334541.51
464,13,1,202495.44
465,17,5,905398.53
465,16,4,2371429.26
465,18,2,57963.16
467,16,3,2296232.0
467,14,2,1092368.79
467,13,4,206946.88
468,5,1,698570.66
468,12,2,2970604.35
468,2,5,125383.33
468,9,5,3018890.57
469,11,3,28819.13
471,13,2,218483.1
473,7,2,187042.55
473,13,2,195865.28
473,1,2,353645.55
474,11,4,29797.5
474,7,3,173103.2
475,1,5,376796.84
475,9,4,2943109.27
476,16,3,2707165.25
476,17,3,866325.96
476,13,1,202500.99
477,15,2,406459.79
478,6,5,1523742.88
478,4,4,230169.23
478,12,2,2704724.56
478,16,4,2534894.76
479,10,4,2626334.12
480,4,3,252641.31
480,3,4,196794.3
481,4,4,224075.22
481,2,3,112062.38
481,11,5,29929.9
482,12,1,2813408.87
482,10,1,2831497.82
482,11,1,31586.03
482,3,4,166949.7
483,4,1,249944.14
485,17,5,892081.74
487,8,5,2381610.64
487,15,4,406415.86
487,13,5,202065.74
487,7,1,162602.14
488,9,5,3505586.78
488,14,1,1200531.85
489,17,2,829262.96
489,10,1,2612680.41
489,5,2,609951.17
490,12,3,2976520.06
490,4,3,254156.94
490,6,1,1461915.48
490,13,4,198359.91
491,7,2,172799.09
495,9,4,3121388.52
495,7,4,164020.14
495,4,1,249736.57
497,9,4,3292740.63
497,2,3,121580.56
497,4,1,258949.98
499,1,2,378089.11
500,3,4,171759.42
500,2,1,124426.29
500,7,3,194375.22
500,16,5,2579054.62
501,11,3,27093.95
502,12,5,2600747.27
503,4,1,230365.29
503,10,5,2465045.54
503,6,4,1553110.49
504,14,3,1172123.09
504,17,2,952289.66
504,12,1,2800444.0
504,4,3,218577.43
505,12,2,2989657.81
505,18,3,61262.02
505,13,5,218194.34
506,18,3,54355.51
506,14,3,1268051.55
506,13,4,199624.14
507,1,5,380880.0
507,8,4,2061724.65
508,13,4,183427.76
508,16,5,2397689.74
508,1,2,364917.6
508,18,1,57215.66
509,3,2,188627.59
509,17,3,874926.04
509,15,1,405467.57
510,10,4,2527157.1
510,13,3,184089.26
512,9,4,3167259.95
513,3,5,176689.59
513,13,1,183584.75
513,7,5,165350.31
513,9,5,3382040.78
514,2,1,115004.34
514,1,4,369541.84
514,9,5,3459332.85
515,11,5,30126.63
516,16,2,2319420.03
516,5,3,619892.88
516,9,2,2920490.98
517,3,3,177159.68
517,15,4,475440.0
517,7,3,171061.19
518,11,4,30562.84
519,16,4,2303486.18
520,2,1,130771.76
520,5,3,694409.74
521,9,3,3161742.67
521,2,4,127571.41
521,6,5,1390837.34
522,13,5,217891.16
522,6,2,1493702.92
523,2,4,131249.41
524,17,4,984197.36
524,3,2,173731.9
525,14,4,1167603.73
525,4,5,225590.4
526,10,2,2694490.57
526,15,5,407422.45
526,4,4,261262.8
526,8,2,2172920.18
527,12,1,2978620.72
527,2,4,124151.46
528,12,3,2655531.85
529,4,4,253875.68
531,17,5,896262.25
531,15,4,453093.07
531,11,4,30261.87
532,6,5,1528145.98
532,4,1,221249.73
533,11,3,27998.03
534,17,1,911379.65
534,13,4,218672.45
534,4,3,262354.41
534,12,4,2579328.95
536,13,2,200427.05
536,11,5,30347.96
537,15,2,445120.07
537,14,4,1191135.17
537,8,5,2283792.41
537,11,2,29069.8
539,1,1,335680.26
539,7,1,166178.5
539,14,2,1163598.88
540,8,4,2325078.8
540,12,5,2790438.56
541,16,1,2469082.97
541,6,4,1445672.84
541,12,3,2545022.51
544,4,1,248502.69
544,13,2,217196.9
545,3,5,168280.32
546,1,3,354189.43
547,10,2,2754833.01
547,8,2,2062010.25
547,6,4,1468674.71
548,2,2,118789.8
548,16,4,2444417.89
548,6,2,1411735.34
548,14,1,1218563.5
549,9,2,3114107.54
549,18,2,59490.61
549,7,3,186145.25
549,13,4,201108.6
550,10,5,2542092.42
550,15,4,457830.42
551,9,3,3421131.39
551,3,5,168210.99
552,16,5,2545084.18
552,18,2,57758.23
553,15,3,415525.4
554,7,2,180389.7
554,9,4,3261712.52
555,3,4,177229.4
555,11,4,30813.01
555,9,2,3235144.05
555,10,4,2490194.08
556,13,3,213679.41
557,14,1,1287725.34
557,12,1,2791380.99
557,2,2,127565.18
557,9,5,3203480.33
558,18,4,62216.36
558,4,4,250086.83
558,10,4,2594123.75
560,10,1,2753858.06
560,14,2,1150101.58
560,2,3,113396.24
560,7,3,168055.52
561,12,5,2935810.22
561,14,4,1211934.28
561,11,1,30436.28
562,13,5,212931.31
562,10,3,2621862.56
564,3,5,169867.51
564,12,4,2577353.21
564,14,2,1151450.14
566,16,3,2424288.49
566,18,1,59268.84
566,12,1,2954353.72
567,16,2,2655351.36
568,5,3,696936.33
568,8,5,2258419.08
568,3,2,184181.44
568,13,2,212541.19
570,18,3,60387.37
570,8,5,2217058.16
570,1,3,383530.01
570,3,3,172416.0
571,4,5,263303.44
571,2,1,111254.13
572,3,1,197729.5
572,2,2,124834.24
572,4,2,227984.51
573,3,2,189413.05
573,7,4,179620.51
574,3,3,184601.26
574,12,4,2773115.36
574,13,1,196114.03
574,14,3,1246728.87
575,17,4,981045.73
575,9,3,3252451.55
577,1,3,374507.44
577,17,5,881588.86
577,11,4,31949.09
578,6,3,1446859.54
578,14,3,1161061.24
578,10,5,2407909.01
579,14,3,1294597.12
579,10,1,2363890.32
579,8,4,1987163.8
580,15,4,446086.63
581,13,2,219827.76
581,4,2,258343.09
581,8,3,2049950.08
582,2,1,123710.11
582,10,3,2382858.68
583,9,1,3133658.6
584,8,2,2168861.61
584,16,1,2601849.02
586,13,4,183117.55
587,11,2,30116.67
587,18,4,54111.44
587,10,3,2764896.69
587,15,4,467462.79
588,4,1,226989.45
588,5,1,679999.24
588,16,1,2301600.77
589,18,3,55645.55
589,15,2,462741.85
590,16,1,2515254.14
592,9,2,3161663.63
592,7,2,184610.88
592,11,2,32519.36
592,15,5,466790.96
593,7,1,194277.35
594,3,1,183224.66
595,17,3,983384.77
595,15,3,476196.9
595,2,2,114647.22
597,3,5,183635.97
598,12,3,2956223.01
598,8,1,2353072.53
598,2,3,112930.7
598,1,5,350666.58
599,9,3,3293548.66
599,18,2,59938.65
599,6,1,1422324.53
600,11,1,30169.72
600,6,1,1646064.76
600,2,3,111167.59
600,12,5,2755683.58
601,3,2,189458.13
601,16,1,2258344.7
601,14,1,1083310.42
601,17,2,817168.84
603,6,5,1435946.34
603,17,5,948079.8
603,8,4,2288796.68
605,18,5,61392.56
605,4,3,220012.66
605,11,1,30067.83
605,8,2,2408697.89
606,8,5,2123770.13
607,5,1,625322.03
607,14,4,1255190.01
607,17,2,820423.07
607,7,1,195286.6
609,15,5,459794.92
609,9,3,3306290.93
609,7,2,166299.95
610,16,1,2331916.32
611,10,5,2608955.88
611,4,3,224014.22
612,5,3,680281.66
615,15,4,429478.25
615,7,1,171466.19
616,3,1,179861.31
616,13,5,194404.96
616,7,4,192936.95
616,4,2,233649.01
617,17,1,970968.32
617,11,1,28370.43
618,15,1,408963.41
618,11,1,28467.31
