AlertID,VIN,AlertType,AlertTimestamp,SeverityID,AlertStatus,ActionTaken,ResolvedDate
142,83EMAZB4RWASKCRX1,Engine Failure Risk,2026-07-22 10:19:12.912543,2,In Progress,Schedule engine inspection,
143,030TF9WXHEB97RXDB,Battery Health Risk,2026-06-04 10:19:12.912543,2,Resolved,Battery diagnostic,2026-06-30
144,PBJHLCZ5DFUBYPTPA,Engine Failure Risk,2026-05-07 10:19:12.912543,3,Open,Schedule engine inspection,
145,20V9JUZFJJEFKK2M8,Driver Behaviour Risk,2026-05-11 10:19:12.912543,1,In Progress,Schedule coaching,
146,F20AS7RHAK7MCXL0H,Driver Behaviour Risk,2026-05-04 10:19:12.912543,3,Open,Schedule coaching,
147,TVYA14261MBX8TJ84,Battery Health Risk,2026-07-02 10:19:12.912543,2,In Progress,Battery diagnostic,
148,6RMFL3F6FD7PVX0K4,Brake Failure Risk,2026-06-28 10:19:12.912543,2,In Progress,Inspect brake system,
149,65HDXLFKD3AB2SWNC,Battery Health Risk,2026-06-20 10:19:12.912543,2,In Progress,Battery diagnostic,
150,LMS15FBT5XWU4F3E3,Battery Health Risk,2026-05-26 10:19:12.912543,2,Open,Battery diagnostic,
151,ER768UZ8R20UCMP2R,Brake Failure Risk,2026-06-11 10:19:12.912543,3,Open,Inspect brake system,
152,3GBTBKDRWWHAA2WAS,Engine Failure Risk,2026-07-22 10:19:12.912543,3,Resolved,Schedule engine inspection,2026-07-24
153,LBX03DT0MYKPG101C,Engine Failure Risk,2026-05-07 10:19:12.912543,2,Open,Schedule engine inspection,
154,NEMBTF9MZ455KSJAX,Engine Failure Risk,2026-05-01 10:19:12.912543,2,In Progress,Schedule engine inspection,
155,PNBRSFA6Y8500GJZ8,Brake Failure Risk,2026-05-27 10:19:12.912543,3,Open,Inspect brake system,
156,A34U1LFVRVNXNB7R7,Tyre Wear Risk,2026-05-09 10:19:12.912543,3,Open,Replace tyres,
157,M73KEZN9483KK0MRJ,Driver Behaviour Risk,2026-07-05 10:19:12.912543,4,Resolved,Schedule coaching,2026-07-22
158,GZCSFFT38THV9MJZF,Tyre Wear Risk,2026-06-16 10:19:12.912543,2,Open,Replace tyres,
159,EADA95GYYRX3GKSSA,Driver Behaviour Risk,2026-06-05 10:19:12.912543,3,In Progress,Schedule coaching,
160,JZ43GPG586H87YX69,Engine Failure Risk,2026-05-06 10:19:12.912543,1,Resolved,Schedule engine inspection,2026-06-29
161,MM1RRNP2P8M392A0G,Engine Failure Risk,2026-04-29 10:19:12.912543,2,In Progress,Schedule engine inspection,
162,MZ9Y8TZLDMSVZP14K,Driver Behaviour Risk,2026-07-20 10:19:12.912543,3,Resolved,Schedule coaching,2026-06-30
163,E6A9HL2847TVVDSFJ,Tyre Wear Risk,2026-07-17 10:19:12.912543,3,Resolved,Replace tyres,2026-07-14
164,7V2NUMJTTD9S47NPV,Driver Behaviour Risk,2026-06-02 10:19:12.912543,3,Open,Schedule coaching,
165,K884DGY9BM92G4VW3,Battery Health Risk,2026-05-05 10:19:12.912543,2,In Progress,Battery diagnostic,
166,507Y3TEGE3AVN3VXC,Battery Health Risk,2026-07-03 10:19:12.912543,3,In Progress,Battery diagnostic,
167,6HE3LWN1HPEF9RJWT,Driver Behaviour Risk,2026-05-08 10:19:12.912543,4,In Progress,Schedule coaching,
168,LL9T0SKBFSYLBWN7M,Driver Behaviour Risk,2026-05-31 10:19:12.912543,3,In Progress,Schedule coaching,
169,1KJAY57W0Z8JXWGRL,Driver Behaviour Risk,2026-07-14 10:19:12.912543,2,Open,Schedule coaching,
170,WP6271URF5EHJ11GP,Tyre Wear Risk,2026-05-27 10:19:12.912543,4,Open,Replace tyres,
171,ZPUXF7NEDHNV32DHX,Driver Behaviour Risk,2026-06-12 10:19:12.912543,3,In Progress,Schedule coaching,
172,M5PVV62S0W2TSRR5L,Brake Failure Risk,2026-07-02 10:19:12.912543,3,In Progress,Inspect brake system,
173,R62KFK7Z6SYCTFW6V,Battery Health Risk,2026-06-12 10:19:12.912543,2,In Progress,Battery diagnostic,
174,YEVR4T2EUFJ88VB38,Tyre Wear Risk,2026-06-20 10:19:12.912543,4,Resolved,Replace tyres,2026-06-27
175,8DJKLVZLWZGEVKCVX,Driver Behaviour Risk,2026-07-15 10:19:12.912543,1,Open,Schedule coaching,
176,A227NHDP9MGZH634F,Engine Failure Risk,2026-05-15 10:19:12.912543,3,In Progress,Schedule engine inspection,
