AssignmentID,VIN,DriverID,DepotID,StartDate,EndDate,AssignmentStatus
759,3GBTBKDRWWHAA2WAS,144,1,2021-01-08,2022-06-16,Completed
287,3M36A6RHTKEFW3YPL,164,2,2019-04-01,2019-07-11,Completed
288,3M36A6RHTKEFW3YPL,67,2,2022-11-12,2024-06-20,Completed
490,3SG3YK3RUGPXR2FA0,19,3,2019-08-21,2019-09-24,Completed
491,3SG3YK3RUGPXR2FA0,75,3,2020-03-18,2021-09-07,Completed
492,3SG3YK3RUGPXR2FA0,75,3,2022-05-20,2024-04-06,Completed
858,3T1VPKRK7ZUXNYEUG,116,1,2020-02-26,2020-12-20,Completed
860,3T1VPKRK7ZUXNYEUG,115,1,2023-08-28,2023-11-18,Completed
861,3T1VPKRK7ZUXNYEUG,111,1,2026-03-22,,Active
859,3T1VPKRK7ZUXNYEUG,57,1,2026-04-21,2026-12-24,Completed
556,3XPB5ARP5LJDDFEJC,199,1,2018-02-16,2018-04-02,Completed
557,3XPB5ARP5LJDDFEJC,83,1,2026-07-13,,Active
130,3ZC1MDHCWXW8LX2RH,199,1,2017-09-26,2019-03-12,Completed
132,3ZC1MDHCWXW8LX2RH,199,1,2020-02-04,2021-10-10,Completed
131,3ZC1MDHCWXW8LX2RH,44,1,2025-12-30,2027-11-10,Completed
133,3ZC1MDHCWXW8LX2RH,184,1,2026-03-09,,Active
81,3ZKCBRSGXL0159ENV,112,3,2018-07-21,2019-11-11,Completed
82,3ZKCBRSGXL0159ENV,214,3,2018-12-12,2019-11-09,Completed
83,3ZKCBRSGXL0159ENV,41,3,2025-08-11,,Active
981,416YLZJMA0TWHRJ94,3,2,2018-12-12,2020-01-28,Completed
979,416YLZJMA0TWHRJ94,51,2,2019-02-07,2020-01-05,Completed
978,416YLZJMA0TWHRJ94,65,2,2024-05-05,2024-12-03,Completed
980,416YLZJMA0TWHRJ94,170,2,2025-05-04,2026-04-04,Completed
977,416YLZJMA0TWHRJ94,22,2,2025-05-28,2025-07-03,Completed
371,424CSE5LPGGBV9UC0,29,2,2021-11-05,2023-01-06,Completed
372,424CSE5LPGGBV9UC0,31,2,2022-05-06,2023-05-15,Completed
370,424CSE5LPGGBV9UC0,147,2,2023-04-21,2025-02-11,Completed
470,42U08F1A0775S0GZD,90,4,2018-12-22,2019-05-27,Completed
472,42U08F1A0775S0GZD,211,4,2021-11-05,2022-06-23,Completed
471,42U08F1A0775S0GZD,213,4,2022-07-09,2024-06-24,Completed
514,47URF1T8V7YRGBGSF,80,4,2017-04-24,2017-09-23,Completed
515,47URF1T8V7YRGBGSF,42,4,2023-07-23,2024-02-08,Completed
829,4B0N9CC7HTVVP14UB,73,3,2019-04-29,2020-04-28,Completed
828,4B0N9CC7HTVVP14UB,214,3,2019-05-16,2019-08-25,Completed
830,4B0N9CC7HTVVP14UB,28,3,2022-01-21,2023-09-06,Completed
235,4BDREJ0GZAPDUX0P6,135,1,2026-04-11,,Active
713,4BE80NA8N0YC45ANC,120,3,2024-03-05,2025-11-02,Completed
676,4FMRM5GGBP16FGSYJ,160,1,2019-10-27,2020-01-13,Completed
677,4FMRM5GGBP16FGSYJ,96,1,2021-06-08,2021-06-18,Cancelled
124,4H0ATNXZXSTAVAUK9,68,4,2017-06-06,2018-04-26,Completed
125,4H0ATNXZXSTAVAUK9,2,4,2022-03-30,2023-06-02,Completed
1078,4HBHHF5TL1ZA2TZ0V,5,1,2020-12-06,2022-06-17,Completed
1076,4HBHHF5TL1ZA2TZ0V,89,1,2022-06-18,2022-09-02,Completed
1077,4HBHHF5TL1ZA2TZ0V,85,1,2024-02-04,2025-02-09,Completed
461,4KWT1H3FKYYEYKF6Y,65,2,2018-03-06,2019-02-13,Completed
460,4KWT1H3FKYYEYKF6Y,198,2,2022-03-06,2023-02-13,Completed
462,4KWT1H3FKYYEYKF6Y,159,2,2026-02-26,,Active
396,4M55H0PLNNUYSGN74,211,4,2024-12-22,2025-02-06,Completed
397,4M55H0PLNNUYSGN74,98,4,2026-01-21,,Active
267,4N3RB6GT8F8UACZ25,26,3,2021-03-21,2022-01-28,Completed
268,4N3RB6GT8F8UACZ25,152,3,2021-10-28,2023-03-18,Completed
269,4N3RB6GT8F8UACZ25,78,3,2022-05-08,2024-01-29,Completed
270,4N3RB6GT8F8UACZ25,190,3,2022-07-17,2023-09-19,Completed
138,4N5RR4YWKWZSFPL1X,189,3,2019-01-29,2020-11-12,Completed
139,4N5RR4YWKWZSFPL1X,7,3,2026-05-27,,Active
869,4VT3ZVRMANSZ1HV98,31,2,2025-10-28,,Active
791,4YF1VSKZ8TZN0DPRA,145,4,2017-01-06,2018-04-21,Completed
792,4YF1VSKZ8TZN0DPRA,38,4,2022-09-16,2024-02-16,Completed
790,4YF1VSKZ8TZN0DPRA,90,4,2024-12-21,2026-09-06,Completed
875,4ZC4T1CRKGTF14AKM,218,4,2019-04-05,2020-06-02,Completed
876,4ZC4T1CRKGTF14AKM,74,4,2024-01-18,2024-10-15,Completed
444,5012L6TPBNRT4SU46,2,4,2017-03-27,2018-06-03,Completed
443,5012L6TPBNRT4SU46,80,4,2019-07-04,2021-06-17,Completed
445,5012L6TPBNRT4SU46,2,4,2020-10-13,2020-10-22,Cancelled
442,5012L6TPBNRT4SU46,42,4,2025-02-25,2025-08-03,Completed
73,507Y3TEGE3AVN3VXC,27,4,2016-12-29,2017-04-24,Completed
74,507Y3TEGE3AVN3VXC,192,4,2026-02-13,2027-02-22,Completed
293,50R7S2M364WRJ27CW,22,2,2017-06-18,2018-11-02,Completed
292,50R7S2M364WRJ27CW,164,2,2018-01-05,2019-09-03,Completed
27,52971462H3HGJ12ZE,28,3,2017-02-19,2018-11-17,Completed
26,52971462H3HGJ12ZE,4,3,2024-01-26,2025-04-12,Completed
28,52971462H3HGJ12ZE,133,3,2026-06-06,2028-04-26,Completed
975,58B4JXRF05TKUC185,189,4,2022-03-27,2023-05-21,Completed
976,58B4JXRF05TKUC185,79,4,2024-08-17,2025-08-24,Completed
159,5C5D3G1Z5XRX233VU,197,3,2023-09-24,2025-06-01,Completed
214,5GBBBMGNSP7ZHTR8S,115,1,2021-11-20,2021-12-28,Completed
215,5GBBBMGNSP7ZHTR8S,201,1,2023-10-30,2025-01-31,Completed
333,5GTDV4YU0JNWC7GT6,188,1,2018-10-07,2020-09-26,Completed
336,5GTDV4YU0JNWC7GT6,97,1,2020-06-25,2020-07-10,Cancelled
334,5GTDV4YU0JNWC7GT6,101,1,2023-01-14,2023-06-22,Completed
335,5GTDV4YU0JNWC7GT6,168,1,2025-08-18,2027-01-04,Completed
984,5J4M9JRBS9J3G2VLP,109,1,2019-05-02,2020-06-07,Completed
986,5J4M9JRBS9J3G2VLP,8,1,2021-08-29,2023-04-15,Completed
987,5J4M9JRBS9J3G2VLP,58,1,2022-04-17,2023-07-05,Completed
985,5J4M9JRBS9J3G2VLP,21,1,2023-04-03,2023-05-12,Completed
935,5JKVLR98TL9SFCRL7,120,3,2016-09-15,2018-08-20,Completed
936,5JKVLR98TL9SFCRL7,45,3,2018-05-25,2018-08-18,Completed
937,5JKVLR98TL9SFCRL7,186,3,2023-11-25,2024-03-11,Completed
599,5L3YFVLG0SG9R4WJL,121,1,2020-08-11,2021-02-08,Completed
598,5L3YFVLG0SG9R4WJL,44,1,2021-06-21,2023-01-12,Completed
600,5L3YFVLG0SG9R4WJL,44,1,2021-09-10,2023-03-22,Completed
240,5MZRD56AEYL68J1NM,117,4,2017-06-11,2017-06-21,Cancelled
238,5MZRD56AEYL68J1NM,155,4,2022-08-02,2023-06-05,Completed
237,5MZRD56AEYL68J1NM,95,4,2023-07-23,2023-12-08,Completed
239,5MZRD56AEYL68J1NM,74,4,2023-10-07,2024-05-31,Completed
381,5N4KUFNBGDT36FMS5,146,3,2019-11-13,2020-03-20,Completed
380,5N4KUFNBGDT36FMS5,53,3,2025-03-30,2026-07-29,Completed
382,5N4KUFNBGDT36FMS5,174,3,2026-07-11,,Active
619,5UGXCT8B97EFV3GTR,65,2,2020-08-29,2021-11-30,Completed
618,5UGXCT8B97EFV3GTR,148,2,2022-07-28,2023-01-22,Completed
244,5UZXR0SYYE46XA7TS,14,2,2018-05-01,2019-01-25,Completed
243,5UZXR0SYYE46XA7TS,31,2,2022-07-21,2023-08-22,Completed
778,5YETJ19M1G8Y85Z6R,64,2,2021-07-05,2021-11-20,Completed
213,5Z9HK12L1WCR7PSUN,84,2,2018-03-09,2018-08-24,Completed
773,5ZFZFLS8YRA96F2AM,152,3,2022-01-02,2022-06-09,Completed
774,5ZFZFLS8YRA96F2AM,171,3,2022-06-24,2023-03-02,Completed
541,6050LM46XEPY6XXRM,192,4,2017-06-16,2018-07-16,Completed
542,6050LM46XEPY6XXRM,20,4,2024-09-29,2025-02-27,Completed
88,612NPVGVCT2K9ZD9N,10,3,2018-03-22,2019-03-28,Completed
87,612NPVGVCT2K9ZD9N,92,3,2018-07-18,2019-03-13,Completed
89,612NPVGVCT2K9ZD9N,79,3,2020-07-24,2022-02-21,Completed
324,65HDXLFKD3AB2SWNC,10,3,2018-11-26,2019-11-18,Completed
325,65HDXLFKD3AB2SWNC,214,3,2020-11-30,2020-12-10,Cancelled
453,6819Z317MDSBZDAXH,44,1,2021-05-19,2021-09-08,Completed
452,6819Z317MDSBZDAXH,83,1,2022-11-29,2024-04-26,Completed
454,6819Z317MDSBZDAXH,47,1,2023-02-28,2025-01-12,Completed
1070,681CNG20N2SHAMXV2,77,1,2022-06-10,2024-04-03,Completed
1069,681CNG20N2SHAMXV2,77,1,2023-04-13,2025-03-15,Completed
234,69M6MG87PH0E1WFNY,58,1,2022-03-06,2023-08-20,Completed
233,69M6MG87PH0E1WFNY,167,1,2026-02-15,2027-09-18,Completed
945,6C9145WVVRLVYV3ZE,167,1,2017-06-09,2019-05-06,Completed
944,6C9145WVVRLVYV3ZE,85,1,2023-05-21,2023-10-03,Completed
946,6C9145WVVRLVYV3ZE,93,1,2026-03-03,,Active
697,6DFG5GT1YAFFPXCCJ,84,4,2017-11-29,2018-07-14,Completed
699,6DFG5GT1YAFFPXCCJ,79,4,2019-08-22,2020-03-10,Completed
698,6DFG5GT1YAFFPXCCJ,79,4,2023-11-23,2024-07-21,Completed
417,6EY7YJ06VU8TR422U,75,3,2024-04-04,2026-01-10,Completed
100,6F79PT7875AVD9K9U,118,4,2018-04-03,2019-08-01,Completed
99,6F79PT7875AVD9K9U,2,4,2023-08-18,2023-11-20,Completed
655,6FWFV3EEGFV5B9TMU,42,4,2024-06-22,2024-08-31,Completed
771,6GAYRJ7CRETTBJDY1,149,2,2024-02-21,2025-07-24,Completed
497,6HE3LWN1HPEF9RJWT,90,4,2019-03-16,2019-07-06,Completed
498,6HE3LWN1HPEF9RJWT,213,4,2025-08-23,,Active
323,6JNA90N9J9G1DYGN8,57,1,2020-02-29,2020-07-16,Completed
446,6K8DK0T5UXK8UEMRY,78,3,2024-01-07,2025-03-08,Completed
447,6K8DK0T5UXK8UEMRY,72,3,2024-01-17,2024-01-30,Cancelled
1088,6KJ763G71ZB7SACH5,148,2,2018-06-05,2020-03-18,Completed
1087,6KJ763G71ZB7SACH5,51,2,2018-11-26,2020-04-20,Completed
1086,6KJ763G71ZB7SACH5,126,2,2021-03-10,2021-06-15,Completed
70,6N9TT7U30CW4VLCYL,56,3,2018-05-31,2019-05-08,Completed
69,6N9TT7U30CW4VLCYL,92,3,2022-11-21,2023-06-14,Completed
362,6R2X40P7VUY0BDS55,19,3,2018-01-25,2018-02-27,Completed
361,6R2X40P7VUY0BDS55,19,3,2022-09-22,2024-06-20,Completed
360,6R2X40P7VUY0BDS55,75,3,2024-05-24,2025-09-30,Completed
1042,6RMFL3F6FD7PVX0K4,10,3,2026-07-14,,Active
549,6SRNUWUPJTPR7T94E,206,1,2017-12-30,2018-10-20,Completed
548,6SRNUWUPJTPR7T94E,57,1,2021-06-02,2021-08-18,Completed
352,6UJBGZJS8CYY7MDK6,92,3,2023-06-13,2024-09-05,Completed
353,6UJBGZJS8CYY7MDK6,55,3,2023-09-04,2024-04-12,Completed
404,6VLM9KFZWL2JXWVYK,13,3,2019-02-20,2020-08-15,Completed
403,6VLM9KFZWL2JXWVYK,52,3,2021-12-12,2023-07-08,Completed
402,6VLM9KFZWL2JXWVYK,189,3,2022-01-25,2022-07-18,Completed
405,6VLM9KFZWL2JXWVYK,79,3,2024-01-19,2025-01-15,Completed
1016,6Y7LFNH7PFWXJ7Z06,13,3,2017-02-08,2018-02-26,Completed
1018,6Y7LFNH7PFWXJ7Z06,13,3,2018-06-09,2020-03-17,Completed
1015,6Y7LFNH7PFWXJ7Z06,79,3,2020-09-08,2021-04-07,Completed
1017,6Y7LFNH7PFWXJ7Z06,79,3,2026-04-23,2028-02-06,Completed
355,6YCN8XXHHF97LUGEU,192,4,2018-07-12,2019-01-09,Completed
263,6YLK8XSV1YDMHY7JB,42,4,2017-01-06,2017-04-23,Completed
265,6YLK8XSV1YDMHY7JB,118,4,2017-01-22,2018-11-13,Completed
266,6YLK8XSV1YDMHY7JB,42,4,2019-08-22,2021-07-01,Completed
264,6YLK8XSV1YDMHY7JB,118,4,2021-02-12,2022-12-10,Completed
262,6YLK8XSV1YDMHY7JB,2,4,2026-01-15,2027-09-01,Completed
574,6Z2C3BXRDBB5PXP52,11,2,2017-01-18,2018-09-16,Completed
573,6Z2C3BXRDBB5PXP52,16,2,2020-05-22,2020-11-05,Completed
785,70SRPPAV8P1XKJTEU,183,4,2020-05-20,2020-07-02,Completed
500,71K5FRL3Y3KC2T17L,148,2,2018-04-16,2018-09-02,Completed
501,71K5FRL3Y3KC2T17L,164,2,2025-03-16,2025-07-25,Completed
502,71K5FRL3Y3KC2T17L,217,2,2026-05-20,,Active
614,72EF2Z9YCA7RT1T0A,147,4,2019-01-05,2020-10-01,Completed
615,72EF2Z9YCA7RT1T0A,77,4,2021-07-10,2021-10-06,Completed
357,77LV8DL6026PPR767,148,2,2016-12-03,2017-08-03,Completed
358,77LV8DL6026PPR767,51,2,2022-02-04,2022-03-27,Completed
356,77LV8DL6026PPR767,148,2,2023-06-17,2024-06-17,Completed
1068,792VWLGELX9HWH4TS,22,2,2023-01-11,2023-07-27,Completed
1067,792VWLGELX9HWH4TS,16,2,2025-10-23,2026-10-02,Completed
1066,792VWLGELX9HWH4TS,16,2,2026-04-29,2027-04-11,Completed
161,795E5J042ZTWJPRX6,12,4,2018-07-03,2018-09-19,Completed
160,795E5J042ZTWJPRX6,99,4,2025-07-08,2025-11-22,Completed
17,7AE59C2JXPCLZU8X6,121,1,2020-06-25,2022-06-07,Completed
16,7AE59C2JXPCLZU8X6,83,1,2021-06-09,2022-11-15,Completed
18,7AE59C2JXPCLZU8X6,83,1,2022-07-25,2024-05-18,Completed
468,7DEAMZER9U9FL1DEZ,34,3,2017-12-15,2018-07-09,Completed
519,7DLAS0SXJYLBXR896,188,1,2021-06-01,2022-08-30,Completed
518,7DLAS0SXJYLBXR896,44,1,2024-02-16,2024-11-04,Completed
1075,7EDF0DMMCMCPCP3ZV,26,3,2017-11-30,2019-08-11,Completed
537,7FKRT1DYME5RP2J3M,6,4,2019-04-29,2020-06-25,Completed
538,7FKRT1DYME5RP2J3M,27,4,2019-12-19,2021-02-12,Completed
536,7FKRT1DYME5RP2J3M,155,4,2023-09-10,2025-05-31,Completed
535,7FKRT1DYME5RP2J3M,27,4,2025-07-17,2025-12-18,Completed
129,7H6ZVJ7ZKUYF5AGE4,118,4,2020-01-23,2021-09-18,Completed
128,7H6ZVJ7ZKUYF5AGE4,42,4,2026-03-05,2027-11-21,Completed
1033,7HTJ9YS6R6HK18NJF,45,3,2020-02-05,2021-04-22,Completed
1032,7HTJ9YS6R6HK18NJF,10,3,2025-05-23,2025-11-27,Completed
1035,7HTJ9YS6R6HK18NJF,4,3,2025-11-28,,Active
1034,7HTJ9YS6R6HK18NJF,78,3,2026-02-10,2026-04-11,Completed
298,7M8KXG7VJPDCK8385,78,3,2021-03-13,2023-02-11,Completed
299,7M8KXG7VJPDCK8385,108,3,2024-02-09,2024-09-16,Completed
248,7NS20DP74W2RY8ETU,2,4,2019-03-15,2020-04-05,Completed
249,7NS20DP74W2RY8ETU,118,4,2024-10-09,2026-08-22,Completed
629,7PL93ACZUY1FN0GG8,219,1,2025-03-14,2026-10-04,Completed
630,7PL93ACZUY1FN0GG8,58,1,2025-03-16,2025-10-17,Completed
119,7V2NUMJTTD9S47NPV,178,1,2018-08-25,2019-05-15,Completed
120,7V2NUMJTTD9S47NPV,180,1,2024-04-21,2025-01-15,Completed
867,7XESAC9E3RSK2HN20,92,3,2021-09-16,2022-10-27,Completed
868,7XESAC9E3RSK2HN20,92,3,2026-01-28,,Active
679,83EMAZB4RWASKCRX1,147,4,2017-05-20,2018-08-22,Completed
680,83EMAZB4RWASKCRX1,150,4,2022-03-20,2023-03-24,Completed
678,83EMAZB4RWASKCRX1,42,4,2022-08-23,2023-01-28,Completed
958,84R4K9CYNS8KYLEJV,19,1,2018-08-04,2019-11-01,Completed
523,85GG1W5DUADFSZ58W,61,3,2020-08-21,2021-06-04,Completed
524,85GG1W5DUADFSZ58W,86,3,2021-10-31,2022-04-02,Completed
201,86TNVDS5YZFC4KL8C,94,2,2018-04-04,2019-08-14,Completed
202,86TNVDS5YZFC4KL8C,31,2,2018-07-07,2019-01-15,Completed
200,86TNVDS5YZFC4KL8C,196,2,2023-11-21,2025-05-01,Completed
203,86TNVDS5YZFC4KL8C,217,2,2025-12-12,2027-11-07,Completed
973,88K696SE7AJVL7X8B,10,3,2017-03-25,2017-04-01,Cancelled
753,8D3WFG0RRWJLDNGM6,51,2,2019-09-26,2020-07-09,Completed
756,8D3WFG0RRWJLDNGM6,65,2,2023-02-25,2023-12-12,Completed
754,8D3WFG0RRWJLDNGM6,170,2,2025-01-21,2025-07-04,Completed
755,8D3WFG0RRWJLDNGM6,16,2,2025-05-18,2025-09-20,Completed
799,8DBEA2V5MZ81UGG4T,88,2,2018-01-13,2018-02-17,Completed
783,8DJKLVZLWZGEVKCVX,8,1,2022-09-20,2023-04-11,Completed
784,8DJKLVZLWZGEVKCVX,167,1,2025-03-23,2026-01-27,Completed
507,8FVAU274THG83J1NR,130,1,2018-10-19,2020-04-20,Completed
509,8FVAU274THG83J1NR,130,1,2019-03-12,2021-02-02,Completed
508,8FVAU274THG83J1NR,21,1,2022-12-23,2023-05-02,Completed
510,8FVAU274THG83J1NR,54,1,2025-09-26,,Active
983,8HW0W30BYRS5BP31R,79,3,2021-12-27,2021-12-30,Cancelled
982,8HW0W30BYRS5BP31R,189,3,2022-02-23,2022-04-13,Completed
1013,8RRCADVXL9220UB8L,84,4,2023-01-14,2023-06-24,Completed
840,8V1U4KD04RRJ591DM,84,4,2021-03-28,2022-02-21,Completed
839,8V1U4KD04RRJ591DM,147,4,2025-12-09,2027-08-14,Completed
303,8Z7TG15GGJXFD7ZYX,28,3,2023-08-13,2023-11-21,Completed
302,8Z7TG15GGJXFD7ZYX,4,3,2024-02-02,2025-10-07,Completed
301,8Z7TG15GGJXFD7ZYX,209,3,2024-10-30,2026-04-20,Completed
20,920DFKALBMRJPZFFX,13,3,2019-10-21,2021-01-18,Completed
19,920DFKALBMRJPZFFX,189,3,2020-04-17,2021-02-09,Completed
669,93TKR863L58PLCC18,189,3,2025-05-03,2027-02-19,Completed
634,983AMB3LRXPXCR779,45,3,2024-07-26,2024-11-09,Completed
71,98CYM3Z8EX2BC2NNV,120,3,2020-07-18,2021-07-03,Completed
177,9921V3E7AUXZAM2N1,186,3,2017-02-05,2018-08-03,Completed
178,9921V3E7AUXZAM2N1,79,3,2017-08-08,2018-01-10,Completed
179,9921V3E7AUXZAM2N1,45,3,2024-09-19,2024-12-20,Completed
581,9GKHJF4JGFJD4EY6M,172,1,2021-06-13,2022-04-25,Completed
582,9GKHJF4JGFJD4EY6M,136,1,2026-07-16,,Active
