EventID,EventTimestamp,VIN,DriverID,DepotID,EventTypeID,SeverityID,Odometer,ReviewStatus
1495,2017-03-07 23:38:40,9HRJWYCS59PHNPWCV,86,3,2,2,205170,Pending
2015,2017-03-08 14:36:16,D42W30NYEJSJLZS01,56,3,3,3,272944,Pending
2333,2017-03-08 22:36:29,ER8HRMABTH9NA74Y3,27,4,1,2,184899,Reviewed
4538,2017-03-10 11:58:05,TX24XJV8GDRXWA07C,52,2,3,3,216865,Pending
3752,2017-03-10 23:43:13,NKFGB7W81LKY2U9YK,96,1,1,2,82950,Pending
3653,2017-03-11 03:18:16,N58WACU49LNZ3UWHP,60,1,8,2,307748,Pending
3742,2017-03-11 11:39:31,NKFGB7W81LKY2U9YK,195,1,1,2,81781,Pending
3533,2017-03-11 16:30:36,MK4UFMALXWMB1JCD0,27,4,5,1,295200,Pending
2019,2017-03-12 03:58:04,D42W30NYEJSJLZS01,56,3,2,2,275776,Pending
3650,2017-03-13 13:24:15,N58WACU49LNZ3UWHP,60,1,5,1,310550,Pending
3746,2017-03-15 02:56:26,NKFGB7W81LKY2U9YK,195,1,7,1,82585,Pending
3676,2017-03-15 18:03:22,NBGGRBLUMAX6763W1,111,1,2,2,49333,Pending
4056,2017-03-19 01:35:46,R9KZSM26HKPRAGCVA,46,3,2,2,24841,Pending
4946,2017-03-19 17:14:19,WGDNEMANL8VHT0R8F,202,4,2,2,143391,Pending
3069,2017-03-22 03:30:16,KB5EGPV6SL02TXFXA,183,4,2,2,152583,Reviewed
2331,2017-03-22 11:17:58,ER8HRMABTH9NA74Y3,27,4,1,2,180785,Pending
3750,2017-03-22 13:12:30,NKFGB7W81LKY2U9YK,96,1,1,2,81633,Pending
3747,2017-03-23 12:30:38,NKFGB7W81LKY2U9YK,195,1,5,1,81891,Reviewed
2535,2017-03-26 06:57:51,FV8HPGYRAXGWN0G13,11,1,2,2,90782,Pending
4704,2017-03-27 16:08:47,V4BAX0951WVKTTWXZ,63,3,1,2,217302,Pending
3748,2017-03-27 16:48:49,NKFGB7W81LKY2U9YK,96,1,1,2,80986,Pending
3745,2017-03-28 16:38:46,NKFGB7W81LKY2U9YK,195,1,5,1,84901,Reviewed
5106,2017-03-30 02:57:12,XC7NH1REUFBM75S57,95,2,5,1,629728,Pending
2532,2017-03-30 03:05:11,FV8HPGYRAXGWN0G13,11,1,1,2,92564,Reviewed
5033,2017-03-31 22:47:55,X00F5C4DR0L5K5Y1L,143,3,7,1,62834,Reviewed
5032,2017-04-02 19:28:06,X00F5C4DR0L5K5Y1L,143,3,4,2,62017,Pending
2913,2017-04-02 22:00:47,JMMB5JEZUZ07RS4DD,192,4,2,2,158734,Pending
1525,2017-04-03 10:34:11,9R976K55DMCYYBX01,8,3,2,2,505178,Pending
2954,2017-04-03 12:36:01,K04WXLN7AMMRS1G0Z,62,1,3,3,588181,Reviewed
2953,2017-04-04 14:29:38,K04WXLN7AMMRS1G0Z,62,1,8,2,590325,Pending
1055,2017-04-05 17:44:20,6VLM9KFZWL2JXWVYK,34,3,2,2,23578,Pending
2958,2017-04-05 23:24:03,K04WXLN7AMMRS1G0Z,62,1,4,2,591740,Pending
3749,2017-04-09 05:39:49,NKFGB7W81LKY2U9YK,96,1,4,2,80189,Reviewed
3743,2017-04-10 21:20:57,NKFGB7W81LKY2U9YK,195,1,8,2,81556,Pending
5110,2017-04-11 18:21:47,XC7NH1REUFBM75S57,95,2,3,3,628728,Pending
5036,2017-04-12 00:05:30,X00F5C4DR0L5K5Y1L,132,3,5,1,60882,Reviewed
1496,2017-04-16 04:37:10,9HRJWYCS59PHNPWCV,86,3,6,3,204238,Pending
2536,2017-04-16 20:50:02,FV8HPGYRAXGWN0G13,11,1,2,2,91340,Pending
3342,2017-04-17 00:42:50,LJ12TX2UXBDCA75LC,147,3,1,2,147935,Pending
5035,2017-04-17 02:28:36,X00F5C4DR0L5K5Y1L,132,3,3,3,65179,Pending
3042,2017-04-18 22:11:17,K884DGY9BM92G4VW3,16,3,2,2,19011,Pending
2915,2017-04-21 13:40:00,JMMB5JEZUZ07RS4DD,192,4,6,3,156884,Pending
2332,2017-04-22 02:24:54,ER8HRMABTH9NA74Y3,27,4,3,3,182381,Pending
826,2017-04-25 09:16:02,5Z9HK12L1WCR7PSUN,20,2,5,1,577606,Pending
4705,2017-04-27 14:37:49,V4BAX0951WVKTTWXZ,63,3,4,2,218919,Pending
3741,2017-04-28 05:18:37,NKFGB7W81LKY2U9YK,195,1,2,2,81194,Pending
3751,2017-04-28 11:28:43,NKFGB7W81LKY2U9YK,96,1,7,1,82356,Reviewed
279,2017-04-28 22:00:51,2821M0XNBNPJS7M0A,74,1,4,2,9095,Pending
3852,2017-05-01 08:21:56,P4P1LLJ8ZSDCR1NEB,118,4,4,2,76510,Pending
4544,2017-05-01 22:41:07,TX24XJV8GDRXWA07C,201,2,5,1,216337,Pending
2337,2017-05-02 22:57:51,ER8HRMABTH9NA74Y3,27,4,3,3,184799,Reviewed
4945,2017-05-03 23:41:16,WGDNEMANL8VHT0R8F,202,4,1,2,146307,Reviewed
3946,2017-05-04 01:07:56,PST7M0AKGMHH6MW4Y,62,4,3,3,180374,Pending
1521,2017-05-04 23:35:11,9R976K55DMCYYBX01,8,3,5,1,502365,Reviewed
4144,2017-05-06 18:02:07,RYCEPWD79C9MW9E40,51,2,4,2,140516,Pending
2657,2017-05-08 10:05:06,GAD7Y48Y0D5EY6V86,71,2,2,2,117242,Pending
2244,2017-05-09 10:25:30,EKHNMK8FXSRK1ZEKN,107,3,7,1,82565,Reviewed
4848,2017-05-09 22:19:47,W31RABYX3EPXLCFU8,121,1,5,1,138467,Pending
5037,2017-05-11 21:50:17,X00F5C4DR0L5K5Y1L,132,3,8,2,63203,Pending
4545,2017-05-12 20:17:52,TX24XJV8GDRXWA07C,201,2,5,1,214811,Reviewed
1534,2017-05-13 16:56:41,9SK7C41MM2UMD0RCB,177,1,5,1,204213,Pending
1497,2017-05-14 03:13:07,9HRJWYCS59PHNPWCV,86,3,3,3,209670,Pending
4248,2017-05-15 04:22:42,SKF4XFE1FZAKRF06U,201,2,4,2,444058,Reviewed
4540,2017-05-15 12:02:14,TX24XJV8GDRXWA07C,52,2,2,2,213918,Pending
3161,2017-05-16 03:05:34,KTTU3UA296DR5RBFY,62,1,4,2,138244,Pending
2594,2017-05-16 17:26:31,G4C8K6E18FRZ2ADLD,150,3,1,2,183085,Reviewed
2654,2017-05-18 19:00:33,GAD7Y48Y0D5EY6V86,71,2,5,1,113372,Pending
2655,2017-05-19 03:30:48,GAD7Y48Y0D5EY6V86,71,2,4,2,114557,Pending
3345,2017-05-19 13:06:59,LJ12TX2UXBDCA75LC,147,3,2,2,143079,Reviewed
2150,2017-05-21 18:57:21,E094D7SVRX2X5616S,131,2,8,2,133683,Pending
2656,2017-05-22 05:41:21,GAD7Y48Y0D5EY6V86,71,2,3,3,115576,Pending
2533,2017-05-22 16:53:01,FV8HPGYRAXGWN0G13,11,1,3,3,89057,Pending
2465,2017-05-26 02:56:26,FEJ3YF58TA5CW56PM,107,3,3,3,211584,Pending
4542,2017-05-26 03:01:09,TX24XJV8GDRXWA07C,52,2,2,2,214126,Pending
2658,2017-05-27 13:19:04,GAD7Y48Y0D5EY6V86,71,2,3,3,114369,Pending
3779,2017-05-27 16:24:58,NMXWTB1VKPEEVKRX8,48,1,5,1,57460,Pending
435,2017-05-28 04:46:15,3F4ZW6WK1WCB2M3P5,67,1,8,2,406737,Reviewed
566,2017-05-28 23:48:36,4FMRM5GGBP16FGSYJ,48,1,7,1,44692,Pending
1057,2017-05-29 00:34:50,6VLM9KFZWL2JXWVYK,34,3,4,2,27795,Reviewed
3472,2017-05-29 14:15:11,M8PP1RNMLP0GHGG5Y,112,1,1,2,159693,Pending
218,2017-05-30 02:43:01,1ZCZ6BD0UGV4X8XJW,119,3,4,2,309769,Pending
832,2017-06-01 02:00:34,5Z9HK12L1WCR7PSUN,20,2,2,2,576127,Pending
2652,2017-06-01 02:40:50,GAD7Y48Y0D5EY6V86,71,2,2,2,116197,Reviewed
2467,2017-06-03 04:36:47,FEJ3YF58TA5CW56PM,107,3,6,3,212087,Reviewed
216,2017-06-03 07:18:09,1ZCZ6BD0UGV4X8XJW,119,3,4,2,306107,Pending
3473,2017-06-05 03:22:28,M8PP1RNMLP0GHGG5Y,112,1,1,2,162099,Pending
2018,2017-06-08 01:12:38,D42W30NYEJSJLZS01,56,3,5,1,276588,Pending
4247,2017-06-09 18:04:20,SKF4XFE1FZAKRF06U,201,2,4,2,443241,Pending
2596,2017-06-09 19:27:33,G4C8K6E18FRZ2ADLD,150,3,7,1,183488,Pending
828,2017-06-11 13:17:32,5Z9HK12L1WCR7PSUN,20,2,4,2,581495,Pending
424,2017-06-12 19:55:17,39V6XUWMK20Z0UJLW,34,1,5,1,100607,Reviewed
3238,2017-06-13 02:47:04,L3XYDTLCMLX84Z1MA,44,4,3,3,288460,Pending
4246,2017-06-13 21:48:00,SKF4XFE1FZAKRF06U,201,2,5,1,445318,Pending
2653,2017-06-14 13:33:19,GAD7Y48Y0D5EY6V86,71,2,1,2,116855,Pending
2651,2017-06-15 09:29:40,GAD7Y48Y0D5EY6V86,71,2,4,2,117015,Pending
3777,2017-06-16 12:26:52,NMXWTB1VKPEEVKRX8,48,1,4,2,58946,Pending
2245,2017-06-16 16:58:28,EKHNMK8FXSRK1ZEKN,107,3,7,1,82732,Reviewed
422,2017-06-17 23:26:42,39V6XUWMK20Z0UJLW,34,1,2,2,100593,Pending
5034,2017-06-18 02:04:20,X00F5C4DR0L5K5Y1L,132,3,1,2,62883,Pending
217,2017-06-18 23:14:50,1ZCZ6BD0UGV4X8XJW,119,3,6,3,307690,Pending
4539,2017-06-22 12:17:19,TX24XJV8GDRXWA07C,52,2,1,2,212393,Reviewed
3642,2017-06-22 12:21:53,N4PY5EL3MPYS9XFB7,20,2,1,2,159441,Pending
2267,2017-06-23 07:48:35,EKYCSL051AS25P3NS,28,1,8,2,328947,Pending
1068,2017-06-23 19:23:08,6YCN8XXHHF97LUGEU,189,4,1,2,43712,Pending
4747,2017-06-24 10:00:38,VJV8M2T01S1MEVG69,194,1,3,3,191080,Pending
1463,2017-06-24 21:29:40,9921V3E7AUXZAM2N1,172,3,2,2,81611,Pending
831,2017-06-27 12:24:11,5Z9HK12L1WCR7PSUN,20,2,3,3,576802,Reviewed
2242,2017-06-28 18:11:22,EKHNMK8FXSRK1ZEKN,107,3,5,1,83053,Reviewed
3173,2017-06-28 21:24:32,KUMSF6NY9PYXEX9W1,101,2,4,2,259563,Pending
2272,2017-06-29 06:34:16,EKYCSL051AS25P3NS,28,1,2,2,327685,Reviewed
3776,2017-06-30 13:35:23,NMXWTB1VKPEEVKRX8,48,1,2,2,54311,Pending
2224,2017-07-02 02:19:39,EJ32GZMCM1L3LJK5S,130,1,5,1,76244,Pending
2270,2017-07-03 04:58:47,EKYCSL051AS25P3NS,28,1,2,2,324110,Reviewed
2266,2017-07-03 05:41:12,EKYCSL051AS25P3NS,28,1,3,3,324137,Pending
5038,2017-07-03 09:52:51,X00F5C4DR0L5K5Y1L,11,3,2,2,65303,Reviewed
434,2017-07-03 11:37:28,3F4ZW6WK1WCB2M3P5,67,1,6,3,406262,Pending
1533,2017-07-04 01:18:05,9SK7C41MM2UMD0RCB,177,1,6,3,205073,Reviewed
587,2017-07-05 05:33:19,4HBHHF5TL1ZA2TZ0V,129,1,5,1,193523,Pending
1071,2017-07-05 19:55:27,6YCN8XXHHF97LUGEU,189,4,3,3,44957,Reviewed
4887,2017-07-06 12:04:34,WC9ARY6S0CM8KJ6AW,192,4,1,2,192522,Pending
1535,2017-07-06 20:17:52,9SK7C41MM2UMD0RCB,177,1,2,2,203907,Pending
1070,2017-07-08 02:11:09,6YCN8XXHHF97LUGEU,189,4,4,2,46194,Pending
1067,2017-07-08 21:45:31,6YCN8XXHHF97LUGEU,189,4,4,2,42641,Pending
2269,2017-07-09 04:38:26,EKYCSL051AS25P3NS,28,1,6,3,326877,Pending
3240,2017-07-09 21:28:11,L3XYDTLCMLX84Z1MA,44,4,4,2,286804,Pending
830,2017-07-10 13:06:09,5Z9HK12L1WCR7PSUN,20,2,6,3,576532,Pending
2017,2017-07-11 07:23:54,D42W30NYEJSJLZS01,56,3,1,2,272344,Pending
3778,2017-07-11 11:24:38,NMXWTB1VKPEEVKRX8,48,1,3,3,55080,Pending
2271,2017-07-12 01:57:05,EKYCSL051AS25P3NS,28,1,2,2,324531,Pending
1467,2017-07-12 20:36:48,9921V3E7AUXZAM2N1,172,3,4,2,81928,Pending
1072,2017-07-15 21:29:14,6YCN8XXHHF97LUGEU,189,4,1,2,44761,Reviewed
2695,2017-07-17 15:26:36,GM1X2GV7R0E9XHFVV,64,4,1,2,139274,Reviewed
3677,2017-07-17 19:31:23,NBGGRBLUMAX6763W1,111,1,6,3,51811,Pending
1936,2017-07-19 05:40:13,CXARA374JS844UHCW,32,2,2,2,36914,Reviewed
3171,2017-07-19 19:32:39,KUMSF6NY9PYXEX9W1,101,2,7,1,258559,Pending
2766,2017-07-22 05:19:54,H3TP29W59B1W2CCPF,194,1,2,2,297056,Reviewed
2763,2017-07-23 04:43:57,H3TP29W59B1W2CCPF,194,1,7,1,301389,Pending
568,2017-07-24 18:34:52,4FMRM5GGBP16FGSYJ,48,1,1,2,43106,Pending
2268,2017-07-25 07:13:52,EKYCSL051AS25P3NS,28,1,2,2,326172,Pending
1935,2017-07-25 12:51:42,CXARA374JS844UHCW,32,2,5,1,40554,Pending
4605,2017-07-26 16:32:51,UHC0U23HCMG5MSED7,151,3,4,2,282688,Pending
2149,2017-07-27 05:31:33,E094D7SVRX2X5616S,131,2,4,2,131969,Pending
1069,2017-07-27 08:11:30,6YCN8XXHHF97LUGEU,189,4,1,2,42240,Pending
3175,2017-07-28 12:47:04,KUMSF6NY9PYXEX9W1,101,2,2,2,258790,Pending
3535,2017-07-30 06:37:13,MK4UFMALXWMB1JCD0,27,4,5,1,296800,Pending
278,2017-07-30 20:26:04,2821M0XNBNPJS7M0A,74,1,3,3,7197,Reviewed
5171,2017-07-31 06:18:15,XSZDTV4FBL5EFJP7M,178,2,2,2,118217,Reviewed
5176,2017-07-31 12:35:42,XSZDTV4FBL5EFJP7M,178,2,2,2,114658,Pending
2762,2017-08-02 17:22:54,H3TP29W59B1W2CCPF,194,1,1,2,299822,Pending
2148,2017-08-04 19:50:37,E094D7SVRX2X5616S,131,2,2,2,132246,Pending
3855,2017-08-04 22:42:05,P4P1LLJ8ZSDCR1NEB,118,4,2,2,81177,Reviewed
432,2017-08-05 11:30:09,3F4ZW6WK1WCB2M3P5,67,1,5,1,402120,Reviewed
5178,2017-08-06 03:04:27,XSZDTV4FBL5EFJP7M,178,2,4,2,118239,Pending
1931,2017-08-06 17:38:30,CXARA374JS844UHCW,32,2,3,3,36034,Pending
1470,2017-08-08 05:22:23,9921V3E7AUXZAM2N1,172,3,2,2,83970,Reviewed
2534,2017-08-09 02:36:57,FV8HPGYRAXGWN0G13,11,1,7,1,90231,Reviewed
2914,2017-08-09 04:30:56,JMMB5JEZUZ07RS4DD,192,4,3,3,157095,Pending
2464,2017-08-09 06:07:29,FEJ3YF58TA5CW56PM,107,3,4,2,212910,Reviewed
3643,2017-08-12 10:40:39,N4PY5EL3MPYS9XFB7,20,2,4,2,161632,Pending
2151,2017-08-13 01:37:40,E094D7SVRX2X5616S,131,2,1,2,132330,Pending
281,2017-08-14 03:16:26,2821M0XNBNPJS7M0A,74,1,8,2,8536,Pending
2803,2017-08-15 20:59:01,HEC4D246BM2ENF423,52,2,2,2,195904,Reviewed
1466,2017-08-16 00:38:47,9921V3E7AUXZAM2N1,172,3,1,2,80781,Pending
2466,2017-08-16 01:36:57,FEJ3YF58TA5CW56PM,107,3,2,2,214227,Pending
586,2017-08-18 16:51:53,4HBHHF5TL1ZA2TZ0V,129,1,2,2,197210,Pending
3237,2017-08-23 21:50:15,L3XYDTLCMLX84Z1MA,44,4,5,1,289146,Reviewed
3495,2017-08-26 18:58:50,MF9RML9LN2R0XVH27,101,2,3,3,36728,Pending
4944,2017-08-27 05:08:27,WGDNEMANL8VHT0R8F,202,4,5,1,146170,Reviewed
470,2017-08-27 17:15:49,3XPB5ARP5LJDDFEJC,74,1,7,1,235085,Pending
3945,2017-08-29 12:31:18,PST7M0AKGMHH6MW4Y,62,4,1,2,183622,Pending
4301,2017-08-30 10:37:42,SNLY6B13B7ZJNY06Z,25,1,1,2,164744,Pending
1536,2017-08-30 13:17:34,9SK7C41MM2UMD0RCB,177,1,5,1,203390,Pending
4097,2017-08-31 22:19:13,RSCLRPYKP8F8SZMRD,92,1,3,3,190057,Pending
4300,2017-09-01 04:35:51,SNLY6B13B7ZJNY06Z,25,1,2,2,166198,Pending
3530,2017-09-03 01:42:09,MK4UFMALXWMB1JCD0,27,4,1,2,299608,Pending
133,2017-09-04 01:00:27,1BD3TBDJCZ127G6GM,124,1,4,2,132087,Reviewed
5040,2017-09-04 08:44:57,X00F5C4DR0L5K5Y1L,11,3,1,2,65534,Pending
3063,2017-09-04 17:12:41,KB5EGPV6SL02TXFXA,183,4,1,2,152452,Pending
2765,2017-09-04 18:27:03,H3TP29W59B1W2CCPF,194,1,3,3,299907,Reviewed
2857,2017-09-04 23:02:45,J8MGPP1NPRV9Z303V,148,2,8,2,208466,Pending
2593,2017-09-05 05:38:47,G4C8K6E18FRZ2ADLD,150,3,4,2,184670,Reviewed
2805,2017-09-05 13:43:18,HEC4D246BM2ENF423,52,2,5,1,196127,Reviewed
1464,2017-09-06 01:43:29,9921V3E7AUXZAM2N1,172,3,5,1,83199,Pending
4231,2017-09-07 20:42:05,SHCLPFAU2EKUZT1K2,202,4,5,1,130793,Pending
423,2017-09-10 07:14:32,39V6XUWMK20Z0UJLW,34,1,2,2,102314,Pending
3234,2017-09-10 16:59:16,L3XYDTLCMLX84Z1MA,44,4,5,1,286744,Reviewed
3172,2017-09-11 17:44:25,KUMSF6NY9PYXEX9W1,101,2,3,3,259233,Pending
3091,2017-09-11 19:24:36,KC4LPTYDUG6NRJSHJ,35,3,1,2,184872,Reviewed
1751,2017-09-12 07:40:31,BH4P6S1WTYPWCYEK5,199,4,4,2,118575,Pending
134,2017-09-13 07:13:35,1BD3TBDJCZ127G6GM,124,1,2,2,128397,Reviewed
2016,2017-09-14 19:28:03,D42W30NYEJSJLZS01,56,3,1,2,277098,Pending
2292,2017-09-15 12:07:43,EP0624VMNXDRSU83F,207,2,2,2,262227,Reviewed
4604,2017-09-17 16:24:58,UHC0U23HCMG5MSED7,151,3,7,1,282285,Pending
5045,2017-09-18 09:00:59,X00F5C4DR0L5K5Y1L,11,3,6,3,63898,Pending
5107,2017-09-18 20:16:47,XC7NH1REUFBM75S57,95,2,3,3,630468,Reviewed
4051,2017-09-19 01:23:30,R9KZSM26HKPRAGCVA,46,3,3,3,27469,Pending
588,2017-09-19 20:30:18,4HBHHF5TL1ZA2TZ0V,129,1,2,2,196199,Reviewed
3269,2017-09-20 00:34:31,LC72E3KD9H82EU5W3,72,3,1,2,319366,Pending
1752,2017-09-20 19:50:14,BH4P6S1WTYPWCYEK5,199,4,2,2,115922,Pending
3851,2017-09-21 04:14:32,P4P1LLJ8ZSDCR1NEB,118,4,5,1,75881,Reviewed
4094,2017-09-23 09:22:26,RSCLRPYKP8F8SZMRD,92,1,6,3,192748,Pending
2293,2017-09-26 23:28:57,EP0624VMNXDRSU83F,207,2,1,2,264968,Pending
2114,2017-09-27 02:01:27,DHMFPLNSC3YNCHKW9,45,1,3,3,187993,Pending
1522,2017-09-28 06:15:43,9R976K55DMCYYBX01,8,3,7,1,503659,Pending
4095,2017-09-28 22:32:06,RSCLRPYKP8F8SZMRD,92,1,2,2,192021,Pending
3973,2017-09-29 14:53:20,R0CVCVTVELUDGWDT3,63,3,3,3,78755,Pending
2530,2017-09-30 04:23:25,FV8HPGYRAXGWN0G13,11,1,4,2,94072,Reviewed
2222,2017-09-30 07:26:16,EJ32GZMCM1L3LJK5S,130,1,3,3,70954,Pending
3469,2017-09-30 19:34:57,M8PP1RNMLP0GHGG5Y,112,1,1,2,157033,Pending
4543,2017-09-30 19:57:24,TX24XJV8GDRXWA07C,52,2,2,2,212790,Pending
1938,2017-10-01 01:23:32,CXARA374JS844UHCW,32,2,3,3,39695,Reviewed
1934,2017-10-01 13:16:45,CXARA374JS844UHCW,32,2,5,1,37234,Reviewed
5108,2017-10-02 09:51:42,XC7NH1REUFBM75S57,95,2,6,3,629537,Reviewed
3673,2017-10-02 13:50:26,NBGGRBLUMAX6763W1,111,1,2,2,53031,Pending
4601,2017-10-04 02:33:31,UHC0U23HCMG5MSED7,151,3,3,3,281059,Pending
1468,2017-10-04 21:03:25,9921V3E7AUXZAM2N1,172,3,6,3,83347,Pending
3267,2017-10-05 10:09:35,LC72E3KD9H82EU5W3,72,3,1,2,317174,Pending
4096,2017-10-05 12:04:31,RSCLRPYKP8F8SZMRD,92,1,2,2,192761,Pending
