ActivityID,MechanicID,LabourHours,RoleInActivity
61,15,2.1,Lead Mechanic
61,34,5.02,Inspector
61,35,3.06,Lead Mechanic
62,43,6.78,Lead Mechanic
62,31,5.01,Assistant Mechanic
63,18,1.47,Lead Mechanic
64,36,3.24,Lead Mechanic
65,11,2.2,Lead Mechanic
65,31,6.24,Electric Specialist
66,23,4.18,Assistant Mechanic
66,27,1.89,Lead Mechanic
67,33,3.42,Inspector
68,2,7.71,Inspector
68,45,1.44,Lead Mechanic
68,16,7.54,Inspector
69,39,1.9,Assistant Mechanic
69,41,2.48,Assistant Mechanic
69,46,5.68,Inspector
70,17,5.88,Electric Specialist
70,2,3.74,Lead Mechanic
71,37,1.83,Assistant Mechanic
71,41,1.51,Electric Specialist
72,45,2.58,Electric Specialist
72,44,0.99,Assistant Mechanic
73,36,6.53,Inspector
73,11,5.66,Lead Mechanic
73,23,2.71,Assistant Mechanic
74,8,5.81,Assistant Mechanic
75,23,6.02,Inspector
75,25,1.08,Assistant Mechanic
76,34,5.29,Electric Specialist
77,29,7.55,Lead Mechanic
78,32,3.05,Inspector
78,8,3.82,Assistant Mechanic
78,13,1.62,Inspector
79,4,7.17,Inspector
80,4,3.73,Inspector
80,15,4.85,Inspector
81,2,5.96,Electric Specialist
81,32,6.82,Assistant Mechanic
82,1,5.81,Lead Mechanic
82,45,7.23,Lead Mechanic
82,17,5.96,Assistant Mechanic
83,42,7.91,Electric Specialist
84,12,5.77,Lead Mechanic
85,32,3.4,Electric Specialist
85,6,1.86,Electric Specialist
86,10,1.59,Inspector
87,3,6.39,Electric Specialist
88,7,0.62,Assistant Mechanic
89,36,2.05,Assistant Mechanic
90,38,1.15,Assistant Mechanic
91,8,4.52,Inspector
91,37,6.82,Inspector
91,16,6.51,Assistant Mechanic
92,44,1.01,Assistant Mechanic
93,4,4.11,Assistant Mechanic
94,15,4.91,Assistant Mechanic
95,35,6.62,Electric Specialist
95,34,7.47,Lead Mechanic
95,31,2.08,Lead Mechanic
96,10,4.31,Electric Specialist
96,15,4.28,Lead Mechanic
97,38,6.6,Electric Specialist
97,1,5.12,Inspector
97,31,1.68,Electric Specialist
98,3,7.13,Inspector
98,39,1.62,Assistant Mechanic
99,40,7.37,Inspector
99,5,6.89,Lead Mechanic
99,13,2.19,Electric Specialist
100,42,5.54,Inspector
100,17,6.56,Lead Mechanic
100,35,6.46,Inspector
101,18,5.53,Assistant Mechanic
101,11,2.45,Lead Mechanic
102,24,5.88,Inspector
103,5,4.44,Assistant Mechanic
103,1,5.25,Lead Mechanic
104,7,7.19,Electric Specialist
104,1,2.55,Inspector
105,6,3.05,Electric Specialist
106,44,5.74,Electric Specialist
106,26,5.6,Inspector
107,32,2.27,Lead Mechanic
107,22,6.09,Electric Specialist
108,15,1.47,Electric Specialist
108,24,4.43,Lead Mechanic
108,13,0.59,Lead Mechanic
109,10,7.81,Electric Specialist
109,8,2.42,Inspector
110,38,1.18,Lead Mechanic
110,13,6.55,Inspector
111,44,2.66,Lead Mechanic
111,5,5.85,Lead Mechanic
111,25,4.2,Inspector
112,22,4.99,Electric Specialist
112,8,2.66,Assistant Mechanic
113,2,3.35,Electric Specialist
114,40,0.6,Electric Specialist
115,18,1.73,Inspector
115,34,1.71,Electric Specialist
115,19,6.82,Electric Specialist
116,39,2.14,Electric Specialist
117,42,7.34,Lead Mechanic
117,19,6.28,Electric Specialist
117,32,3.15,Inspector
118,42,2.03,Inspector
118,37,7.73,Inspector
118,36,5.5,Inspector
119,16,1.93,Lead Mechanic
120,27,7.3,Assistant Mechanic
120,39,1.5,Assistant Mechanic
120,24,2.57,Assistant Mechanic
121,23,3.64,Electric Specialist
121,8,4.64,Assistant Mechanic
122,32,6.2,Inspector
122,31,2.22,Electric Specialist
122,11,6.92,Inspector
123,30,6.84,Electric Specialist
124,40,3.62,Inspector
124,28,3.2,Assistant Mechanic
124,21,6.42,Assistant Mechanic
125,17,7.58,Electric Specialist
125,2,3.74,Electric Specialist
125,14,2.75,Inspector
126,18,3.63,Inspector
126,20,1.62,Assistant Mechanic
126,1,1.71,Assistant Mechanic
127,38,0.54,Lead Mechanic
127,15,1.05,Electric Specialist
128,8,5.38,Assistant Mechanic
129,2,5.71,Inspector
129,11,7.75,Inspector
129,3,3.86,Assistant Mechanic
130,13,5.5,Electric Specialist
130,35,6.0,Lead Mechanic
130,28,4.59,Electric Specialist
131,38,1.31,Assistant Mechanic
132,28,7.82,Electric Specialist
132,44,4.94,Lead Mechanic
132,18,6.36,Inspector
133,5,0.85,Electric Specialist
133,33,7.31,Assistant Mechanic
133,20,3.16,Assistant Mechanic
134,33,6.39,Inspector
135,30,3.41,Assistant Mechanic
135,19,1.74,Inspector
135,5,3.16,Assistant Mechanic
136,28,3.56,Lead Mechanic
137,15,3.02,Lead Mechanic
138,41,5.43,Lead Mechanic
138,37,1.38,Assistant Mechanic
139,37,0.71,Inspector
139,5,1.06,Assistant Mechanic
139,16,3.9,Lead Mechanic
140,42,1.16,Electric Specialist
140,34,7.99,Electric Specialist
141,4,3.33,Assistant Mechanic
141,46,7.83,Assistant Mechanic
141,22,0.76,Inspector
142,37,7.75,Electric Specialist
142,46,7.62,Inspector
143,18,6.43,Electric Specialist
143,13,6.49,Inspector
143,17,2.94,Assistant Mechanic
144,21,6.8,Electric Specialist
144,17,2.06,Assistant Mechanic
144,26,7.53,Lead Mechanic
145,1,2.54,Lead Mechanic
146,43,6.59,Assistant Mechanic
146,26,2.27,Assistant Mechanic
147,16,6.73,Lead Mechanic
147,42,7.32,Lead Mechanic
148,19,1.17,Inspector
148,1,1.51,Electric Specialist
148,7,5.48,Lead Mechanic
149,32,1.23,Electric Specialist
149,43,3.11,Electric Specialist
149,19,5.39,Electric Specialist
150,32,0.78,Inspector
151,16,4.06,Electric Specialist
151,41,5.78,Lead Mechanic
151,43,2.41,Inspector
152,21,3.14,Inspector
153,11,1.64,Inspector
153,9,3.94,Electric Specialist
154,3,5.08,Inspector
154,4,6.37,Lead Mechanic
155,6,3.35,Assistant Mechanic
155,42,3.3,Lead Mechanic
155,10,3.27,Inspector
156,35,6.4,Inspector
157,20,7.98,Electric Specialist
157,4,3.01,Lead Mechanic
157,33,4.64,Electric Specialist
158,24,2.54,Inspector
158,18,7.3,Electric Specialist
158,43,7.68,Inspector
159,28,1.7,Inspector
159,5,0.63,Lead Mechanic
160,21,5.09,Inspector
160,9,0.69,Lead Mechanic
160,12,3.18,Electric Specialist
161,11,5.89,Inspector
161,38,1.78,Lead Mechanic
162,7,3.94,Assistant Mechanic
163,38,2.75,Inspector
164,12,0.68,Assistant Mechanic
165,6,4.99,Inspector
165,44,3.97,Electric Specialist
166,19,1.33,Assistant Mechanic
167,10,0.8,Electric Specialist
167,14,2.19,Electric Specialist
168,41,2.09,Lead Mechanic
169,29,4.83,Inspector
169,30,2.07,Inspector
169,17,7.31,Assistant Mechanic
170,35,7.01,Inspector
170,21,2.93,Inspector
171,21,2.53,Inspector
172,27,7.47,Inspector
173,36,4.2,Inspector
174,1,7.89,Inspector
175,26,6.88,Lead Mechanic
175,3,7.46,Inspector
175,28,2.75,Assistant Mechanic
176,45,4.76,Electric Specialist
176,4,4.84,Assistant Mechanic
177,22,4.14,Lead Mechanic
177,45,1.26,Inspector
178,34,4.59,Electric Specialist
179,37,3.05,Inspector
180,18,0.55,Inspector
180,23,7.23,Assistant Mechanic
181,25,4.12,Inspector
181,23,4.06,Lead Mechanic
181,16,5.06,Inspector
182,36,7.32,Lead Mechanic
182,16,3.17,Assistant Mechanic
183,20,1.87,Inspector
183,2,3.22,Electric Specialist
184,4,1.83,Inspector
184,8,0.65,Assistant Mechanic
184,18,3.71,Assistant Mechanic
185,35,2.74,Assistant Mechanic
185,15,7.07,Lead Mechanic
186,18,3.09,Lead Mechanic
187,41,0.7,Inspector
187,19,1.91,Inspector
187,25,5.26,Assistant Mechanic
188,40,3.67,Electric Specialist
189,20,5.03,Electric Specialist
190,4,6.07,Electric Specialist
190,24,3.87,Assistant Mechanic
191,37,3.19,Inspector
191,3,1.94,Assistant Mechanic
191,17,6.54,Assistant Mechanic
192,39,7.91,Assistant Mechanic
193,45,1.67,Lead Mechanic
194,3,1.38,Lead Mechanic
194,36,2.13,Electric Specialist
194,8,4.03,Lead Mechanic
195,29,6.06,Lead Mechanic
196,45,6.31,Electric Specialist
196,26,7.38,Electric Specialist
196,36,6.97,Electric Specialist
197,43,7.48,Assistant Mechanic
197,33,7.54,Electric Specialist
197,20,2.9,Assistant Mechanic
198,35,1.0,Assistant Mechanic
199,9,5.05,Lead Mechanic
199,19,1.31,Inspector
200,24,2.79,Assistant Mechanic
201,25,4.37,Inspector
201,40,4.09,Assistant Mechanic
202,19,2.87,Assistant Mechanic
202,16,6.93,Assistant Mechanic
202,38,7.85,Lead Mechanic
203,22,6.28,Inspector
204,19,1.65,Lead Mechanic
204,37,0.76,Assistant Mechanic
204,27,6.8,Lead Mechanic
205,1,1.34,Assistant Mechanic
206,43,7.7,Electric Specialist
206,35,0.95,Lead Mechanic
207,15,3.16,Inspector
207,33,3.23,Lead Mechanic
208,7,4.58,Electric Specialist
208,41,6.86,Electric Specialist
209,20,1.69,Electric Specialist
210,19,2.79,Electric Specialist
211,31,0.52,Inspector
211,46,5.22,Lead Mechanic
212,2,4.26,Lead Mechanic
213,12,7.2,Lead Mechanic
213,42,2.02,Inspector
213,26,5.42,Electric Specialist
214,34,3.19,Electric Specialist
214,38,2.49,Inspector
215,32,3.04,Assistant Mechanic
216,29,4.16,Lead Mechanic
217,24,6.32,Electric Specialist
218,23,3.58,Electric Specialist
219,14,4.22,Inspector
220,20,4.6,Lead Mechanic
221,4,2.38,Lead Mechanic
221,2,7.35,Lead Mechanic
221,11,6.53,Electric Specialist
222,25,3.42,Electric Specialist
222,2,7.93,Assistant Mechanic
223,43,3.28,Electric Specialist
223,38,4.58,Inspector
224,8,1.47,Inspector
224,7,4.26,Assistant Mechanic
225,31,7.8,Assistant Mechanic
226,17,1.61,Inspector
226,41,0.91,Inspector
227,36,6.87,Lead Mechanic
227,37,2.02,Electric Specialist
228,28,1.03,Electric Specialist
229,19,6.87,Lead Mechanic
229,38,5.25,Electric Specialist
229,43,7.05,Assistant Mechanic
230,39,1.15,Inspector
230,20,5.34,Inspector
231,38,3.99,Assistant Mechanic
232,3,5.03,Electric Specialist
233,15,6.91,Assistant Mechanic
234,18,4.6,Assistant Mechanic
234,11,4.22,Inspector
234,38,5.11,Assistant Mechanic
235,20,7.09,Inspector
235,25,3.37,Electric Specialist
236,37,6.88,Lead Mechanic
236,28,2.37,Lead Mechanic
237,5,7.62,Inspector
238,11,5.89,Lead Mechanic
239,38,7.53,Lead Mechanic
239,23,1.73,Electric Specialist
240,36,3.38,Assistant Mechanic
240,34,2.24,Assistant Mechanic
240,27,7.54,Lead Mechanic
241,16,5.42,Inspector
242,11,5.9,Inspector
242,12,3.21,Lead Mechanic
242,21,2.07,Electric Specialist
243,35,1.27,Lead Mechanic
243,43,7.95,Assistant Mechanic
244,18,4.02,Electric Specialist
245,4,4.33,Inspector
246,18,1.85,Assistant Mechanic
247,23,7.62,Inspector
247,29,5.6,Inspector
248,8,6.18,Assistant Mechanic
248,29,0.54,Electric Specialist
248,15,3.04,Inspector
249,30,3.87,Lead Mechanic
249,26,7.69,Inspector
249,24,6.02,Lead Mechanic
250,26,3.02,Lead Mechanic
250,23,6.43,Assistant Mechanic
251,25,1.07,Assistant Mechanic
251,17,3.76,Lead Mechanic
251,10,4.1,Lead Mechanic
252,31,7.1,Assistant Mechanic
252,11,6.62,Assistant Mechanic
253,45,2.0,Lead Mechanic
253,19,4.73,Inspector
253,22,1.11,Inspector
254,7,5.46,Inspector
254,36,2.51,Lead Mechanic
255,34,2.94,Assistant Mechanic
256,1,2.55,Assistant Mechanic
256,43,0.64,Electric Specialist
256,39,6.21,Electric Specialist
257,7,4.93,Electric Specialist
257,45,4.93,Electric Specialist
257,40,2.97,Lead Mechanic
258,7,1.29,Electric Specialist
259,43,7.42,Electric Specialist
260,5,7.31,Lead Mechanic
260,22,3.67,Electric Specialist
260,29,1.01,Inspector
261,31,5.57,Electric Specialist
261,4,3.73,Inspector
262,28,4.63,Lead Mechanic
263,36,7.95,Inspector
264,42,4.37,Electric Specialist
265,20,7.02,Inspector
265,4,7.61,Inspector
265,5,7.5,Lead Mechanic
266,24,4.36,Inspector
266,2,1.17,Lead Mechanic
266,26,1.1,Electric Specialist
267,32,4.33,Lead Mechanic
267,13,4.7,Inspector
267,18,1.38,Inspector
268,26,3.31,Lead Mechanic
268,27,5.72,Electric Specialist
268,29,4.79,Inspector
269,9,1.94,Assistant Mechanic
270,19,3.39,Assistant Mechanic
270,12,5.1,Electric Specialist
270,44,4.91,Inspector
271,7,6.6,Inspector
271,15,3.98,Lead Mechanic
272,28,4.6,Inspector
273,5,1.59,Inspector
273,41,7.13,Lead Mechanic
274,15,4.39,Electric Specialist
275,40,0.83,Lead Mechanic
275,44,7.27,Electric Specialist
275,13,3.44,Lead Mechanic
276,1,3.47,Assistant Mechanic
276,37,6.03,Electric Specialist
277,37,7.71,Assistant Mechanic
278,37,3.18,Electric Specialist
278,46,3.69,Lead Mechanic
279,37,4.62,Inspector
280,12,5.87,Assistant Mechanic
281,9,3.74,Electric Specialist
281,3,3.26,Inspector
282,42,7.54,Electric Specialist
282,1,2.1,Lead Mechanic
282,24,2.3,Inspector
283,16,3.31,Lead Mechanic
283,31,7.61,Assistant Mechanic
283,17,0.53,Electric Specialist
284,9,4.37,Electric Specialist
284,37,7.42,Lead Mechanic
284,17,2.59,Electric Specialist
285,10,2.74,Electric Specialist
285,38,5.9,Lead Mechanic
286,5,3.89,Lead Mechanic
286,28,0.77,Electric Specialist
286,14,1.6,Assistant Mechanic
287,34,5.83,Assistant Mechanic
287,35,4.84,Electric Specialist
287,36,0.52,Electric Specialist
288,3,2.87,Assistant Mechanic
288,5,7.2,Inspector
289,12,2.37,Lead Mechanic
289,18,7.43,Assistant Mechanic
289,19,5.15,Assistant Mechanic
290,7,0.66,Assistant Mechanic
291,31,6.9,Lead Mechanic
291,42,0.77,Assistant Mechanic
292,22,1.6,Lead Mechanic
292,43,6.45,Assistant Mechanic
292,17,1.31,Lead Mechanic
293,4,1.91,Electric Specialist
293,16,1.28,Assistant Mechanic
293,18,7.11,Inspector
294,20,6.42,Assistant Mechanic
294,23,7.43,Inspector
294,2,5.64,Electric Specialist
295,24,4.96,Electric Specialist
295,36,2.6,Inspector
295,7,3.62,Electric Specialist
296,35,1.78,Assistant Mechanic
296,10,6.43,Electric Specialist
297,11,0.56,Electric Specialist
297,22,2.59,Electric Specialist
298,45,7.97,Electric Specialist
299,9,3.21,Inspector
299,25,7.36,Electric Specialist
300,6,2.52,Lead Mechanic
300,10,1.13,Electric Specialist
301,3,6.5,Inspector
301,7,5.78,Lead Mechanic
301,11,6.75,Lead Mechanic
302,45,3.57,Electric Specialist
303,12,0.67,Electric Specialist
303,7,5.08,Assistant Mechanic
304,12,3.32,Inspector
304,6,4.02,Lead Mechanic
305,4,3.35,Lead Mechanic
306,5,7.38,Assistant Mechanic
306,3,2.61,Assistant Mechanic
307,38,3.18,Inspector
308,43,3.08,Electric Specialist
309,45,1.61,Electric Specialist
309,25,6.09,Electric Specialist
309,19,1.8,Inspector
310,9,5.56,Lead Mechanic
310,32,4.44,Electric Specialist
311,28,7.36,Inspector
312,25,0.63,Electric Specialist
312,10,2.61,Inspector
313,23,4.83,Lead Mechanic
313,31,5.5,Electric Specialist
313,5,2.0,Assistant Mechanic
314,5,7.64,Lead Mechanic
314,17,2.59,Electric Specialist
314,10,5.42,Lead Mechanic
315,28,5.48,Inspector
316,9,4.21,Assistant Mechanic
316,38,4.38,Assistant Mechanic
316,1,6.87,Inspector
317,30,1.36,Assistant Mechanic
318,17,4.17,Electric Specialist
318,10,5.51,Inspector
318,20,5.49,Assistant Mechanic
319,9,2.86,Electric Specialist
320,27,5.93,Inspector
321,2,2.6,Inspector
322,17,1.38,Assistant Mechanic
323,18,3.23,Inspector
323,46,3.56,Electric Specialist
323,45,2.14,Electric Specialist
324,33,0.82,Lead Mechanic
325,3,3.39,Assistant Mechanic
326,32,5.27,Electric Specialist
326,23,5.15,Electric Specialist
327,26,3.17,Inspector
327,30,3.34,Electric Specialist
328,25,7.52,Inspector
328,26,7.73,Lead Mechanic
329,20,5.77,Lead Mechanic
330,38,7.32,Assistant Mechanic
330,18,1.75,Assistant Mechanic
331,8,3.67,Inspector
332,23,1.52,Inspector
332,13,5.91,Inspector
332,45,5.68,Assistant Mechanic
333,20,3.49,Lead Mechanic
334,19,4.79,Assistant Mechanic
335,40,6.77,Inspector
335,3,6.82,Lead Mechanic
336,36,3.24,Inspector
336,13,3.5,Lead Mechanic
336,28,2.92,Lead Mechanic
337,15,3.15,Electric Specialist
337,31,4.82,Lead Mechanic
337,27,0.77,Electric Specialist
338,14,0.63,Lead Mechanic
338,17,4.23,Lead Mechanic
338,6,7.76,Inspector
339,43,7.5,Assistant Mechanic
340,18,1.34,Electric Specialist
340,24,7.83,Lead Mechanic
341,45,5.06,Inspector
342,10,5.66,Lead Mechanic
343,44,4.89,Lead Mechanic
343,36,7.57,Lead Mechanic
343,22,1.59,Lead Mechanic
344,22,3.18,Inspector
344,37,4.78,Assistant Mechanic
345,5,5.71,Lead Mechanic
345,39,3.75,Inspector
346,14,6.58,Lead Mechanic
346,25,4.59,Lead Mechanic
347,31,1.47,Lead Mechanic
347,1,5.53,Assistant Mechanic
347,14,5.7,Assistant Mechanic
348,13,7.07,Inspector
348,26,7.82,Lead Mechanic
348,5,4.02,Assistant Mechanic
349,42,3.64,Lead Mechanic
350,35,7.06,Lead Mechanic
350,8,6.98,Inspector
351,36,7.63,Electric Specialist
351,32,1.37,Electric Specialist
352,31,0.61,Lead Mechanic
353,14,6.75,Inspector
353,35,3.13,Assistant Mechanic
354,21,4.88,Electric Specialist
354,41,7.45,Assistant Mechanic
355,13,5.48,Assistant Mechanic
356,13,6.52,Lead Mechanic
357,12,2.41,Electric Specialist
357,20,3.35,Electric Specialist
357,13,1.46,Lead Mechanic
358,45,6.54,Assistant Mechanic
359,22,2.2,Inspector
360,1,0.52,Inspector
360,25,3.64,Lead Mechanic
361,9,5.89,Inspector
361,1,4.97,Inspector
361,22,2.43,Electric Specialist
362,15,2.0,Lead Mechanic
362,40,0.71,Inspector
363,7,1.92,Assistant Mechanic
363,13,2.08,Assistant Mechanic
363,44,7.64,Inspector
364,29,3.13,Lead Mechanic
365,1,3.12,Inspector
365,29,4.51,Inspector
365,43,7.69,Inspector
366,16,4.69,Electric Specialist
366,33,1.16,Assistant Mechanic
366,28,7.19,Inspector
367,32,7.42,Lead Mechanic
367,40,4.09,Assistant Mechanic
367,1,0.81,Lead Mechanic
368,9,2.38,Inspector
368,37,3.4,Assistant Mechanic
369,28,3.81,Lead Mechanic
369,26,7.35,Assistant Mechanic
370,26,4.39,Assistant Mechanic
370,12,2.03,Electric Specialist
370,45,3.01,Electric Specialist
371,8,5.51,Assistant Mechanic
372,19,1.98,Inspector
373,13,4.78,Assistant Mechanic
373,40,7.24,Assistant Mechanic
373,15,4.34,Assistant Mechanic
374,33,7.13,Inspector
374,8,6.07,Electric Specialist
374,23,0.6,Lead Mechanic
375,36,5.43,Inspector
376,30,3.38,Lead Mechanic
376,2,2.04,Inspector
377,34,5.13,Assistant Mechanic
377,11,2.51,Inspector
378,15,7.18,Lead Mechanic
379,35,2.84,Assistant Mechanic
379,34,4.93,Assistant Mechanic
380,40,3.44,Assistant Mechanic
380,25,7.04,Assistant Mechanic
380,2,4.57,Assistant Mechanic
381,40,1.32,Assistant Mechanic
382,19,6.09,Electric Specialist
382,31,2.59,Inspector
382,45,6.54,Electric Specialist
383,44,6.95,Lead Mechanic
383,46,5.37,Electric Specialist
383,1,4.28,Electric Specialist
384,38,4.06,Inspector
384,12,7.45,Lead Mechanic
385,12,3.59,Inspector
385,39,7.78,Inspector
385,42,4.4,Assistant Mechanic
386,32,4.74,Inspector
386,8,5.03,Lead Mechanic
387,38,6.71,Assistant Mechanic
387,17,3.49,Inspector
387,8,5.59,Electric Specialist
388,38,1.22,Inspector
389,3,6.48,Electric Specialist
389,8,6.35,Lead Mechanic
390,12,5.63,Electric Specialist
390,13,1.33,Assistant Mechanic
390,6,3.15,Assistant Mechanic
391,43,5.66,Assistant Mechanic
391,34,7.65,Lead Mechanic
391,17,5.29,Lead Mechanic
392,24,5.09,Lead Mechanic
392,21,7.82,Inspector
393,11,1.32,Electric Specialist
394,41,6.58,Inspector
394,20,7.68,Assistant Mechanic
395,22,6.89,Assistant Mechanic
395,8,6.38,Electric Specialist
396,20,3.94,Assistant Mechanic
397,30,6.23,Assistant Mechanic
398,2,6.4,Assistant Mechanic
398,25,1.33,Assistant Mechanic
399,15,7.84,Inspector
400,8,5.22,Electric Specialist
400,16,7.9,Inspector
400,40,1.12,Electric Specialist
401,12,3.31,Inspector
401,45,0.73,Inspector
401,17,4.3,Electric Specialist
402,15,6.65,Inspector
403,5,5.18,Inspector
403,37,6.32,Inspector
403,43,1.67,Assistant Mechanic
404,10,4.12,Lead Mechanic
404,40,1.87,Inspector
404,29,3.16,Inspector
405,19,1.68,Lead Mechanic
405,9,2.91,Electric Specialist
406,37,1.33,Electric Specialist
407,16,3.25,Assistant Mechanic
407,42,3.92,Electric Specialist
408,14,0.53,Lead Mechanic
408,10,3.8,Inspector
408,4,7.75,Inspector
409,28,1.49,Inspector
409,13,5.37,Lead Mechanic
410,27,1.03,Inspector
410,9,5.68,Electric Specialist
411,36,2.04,Inspector
411,25,6.62,Lead Mechanic
412,42,0.62,Electric Specialist
413,16,3.71,Lead Mechanic
413,34,1.46,Electric Specialist
414,44,3.92,Inspector
415,22,2.2,Lead Mechanic
416,41,2.99,Inspector
416,36,1.87,Electric Specialist
416,27,3.43,Lead Mechanic
417,11,2.54,Electric Specialist
417,30,0.93,Assistant Mechanic
418,6,6.22,Assistant Mechanic
418,1,6.53,Electric Specialist
419,16,3.3,Electric Specialist
420,38,4.91,Electric Specialist
421,22,6.84,Lead Mechanic
421,1,5.03,Lead Mechanic
422,18,7.98,Lead Mechanic
422,43,6.51,Electric Specialist
423,5,5.6,Assistant Mechanic
423,41,6.5,Electric Specialist
423,12,1.3,Inspector
424,41,1.87,Inspector
424,22,5.22,Assistant Mechanic
425,36,5.95,Lead Mechanic
425,44,1.35,Lead Mechanic
426,15,7.43,Assistant Mechanic
427,23,1.06,Electric Specialist
427,13,5.28,Inspector
427,8,5.27,Lead Mechanic
428,9,7.14,Assistant Mechanic
428,10,2.47,Lead Mechanic
429,37,5.65,Electric Specialist
429,28,6.39,Assistant Mechanic
429,2,4.16,Electric Specialist
430,30,5.43,Lead Mechanic
430,1,3.38,Lead Mechanic
431,4,5.88,Lead Mechanic
431,22,5.84,Inspector
432,23,1.22,Assistant Mechanic
433,36,5.98,Lead Mechanic
434,7,5.94,Lead Mechanic
434,43,3.91,Lead Mechanic
434,19,2.55,Assistant Mechanic
435,15,3.91,Assistant Mechanic
435,7,6.98,Electric Specialist
436,23,7.27,Inspector
437,10,2.68,Lead Mechanic
438,16,7.49,Lead Mechanic
439,36,1.54,Assistant Mechanic
439,7,7.05,Electric Specialist
440,35,2.14,Assistant Mechanic
440,45,4.04,Assistant Mechanic
441,42,6.41,Inspector
441,40,3.56,Electric Specialist
441,27,7.77,Inspector
442,26,5.22,Inspector
442,33,3.79,Assistant Mechanic
443,40,3.31,Electric Specialist
444,37,1.85,Assistant Mechanic
444,7,4.96,Inspector
445,42,2.41,Assistant Mechanic
445,39,0.54,Inspector
446,30,2.47,Lead Mechanic
446,33,6.01,Assistant Mechanic
447,4,4.1,Electric Specialist
